[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 12:15:28
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 800,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	0.067
302.0	0.108
304.0	0.088
306.0	0.098
308.0	0.005
310.0	0.018
312.0	-0.025
314.0	-0.020
316.0	0.015
318.0	0.034
320.0	0.089
322.0	0.120
324.0	0.205
326.0	0.350
328.0	0.517
330.0	0.771
332.0	0.994
334.0	1.195
336.0	1.294
338.0	1.296
340.0	1.242
342.0	1.256
344.0	1.534
346.0	2.345
348.0	4.195
350.0	7.666
352.0	13.109
354.0	20.351
356.0	28.682
358.0	37.222
360.0	45.913
362.0	53.808
364.0	60.893
366.0	66.272
368.0	70.562
370.0	73.622
372.0	76.036
374.0	78.022
376.0	79.933
378.0	81.654
380.0	83.116
382.0	84.154
384.0	84.769
386.0	85.166
388.0	85.464
390.0	85.835
392.0	86.220
394.0	86.738
396.0	87.308
398.0	87.694
400.0	87.529
402.0	86.637
404.0	85.118
406.0	83.302
408.0	81.598
410.0	80.387
412.0	79.892
414.0	80.119
416.0	80.874
418.0	81.802
420.0	82.516
422.0	82.707
424.0	82.432
426.0	81.893
428.0	81.457
430.0	81.509
432.0	82.239
434.0	83.700
436.0	85.575
438.0	87.485
440.0	88.939
442.0	89.605
444.0	89.292
446.0	88.136
448.0	86.465
450.0	84.759
452.0	83.468
454.0	82.913
456.0	83.159
458.0	84.062
460.0	85.179
462.0	86.128
464.0	86.490
466.0	86.127
468.0	84.989
470.0	83.253
472.0	81.115
474.0	78.884
476.0	76.999
478.0	75.928
480.0	75.906
482.0	76.954
484.0	78.800
486.0	81.071
488.0	83.189
490.0	84.655
492.0	85.064
494.0	84.181
496.0	82.036
498.0	78.942
500.0	75.443
502.0	72.130
504.0	69.582
506.0	68.227
508.0	68.310
510.0	69.788
512.0	72.540
514.0	76.172
516.0	80.156
518.0	83.660
520.0	85.837
522.0	86.006
524.0	83.866
526.0	79.762
528.0	74.400
530.0	68.832
532.0	64.189
534.0	61.087
536.0	59.528
538.0	58.708
540.0	57.640
542.0	55.184
544.0	50.537
546.0	43.583
548.0	35.040
550.0	26.166
552.0	18.284
554.0	12.197
556.0	8.001
558.0	5.300
560.0	3.605
562.0	2.550
564.0	1.869
566.0	1.420
568.0	1.113
570.0	0.895
572.0	0.736
574.0	0.619
576.0	0.531
578.0	0.465
580.0	0.414
582.0	0.373
584.0	0.342
586.0	0.318
588.0	0.298
590.0	0.281
592.0	0.267
594.0	0.254
596.0	0.244
598.0	0.236
600.0	0.230
602.0	0.226
604.0	0.222
606.0	0.219
608.0	0.216
610.0	0.214
612.0	0.213
614.0	0.211
616.0	0.211
618.0	0.213
620.0	0.215
622.0	0.215
624.0	0.216
626.0	0.218
628.0	0.222
630.0	0.225
632.0	0.229
634.0	0.233
636.0	0.238
638.0	0.242
640.0	0.246
642.0	0.253
644.0	0.260
646.0	0.269
648.0	0.278
650.0	0.287
652.0	0.298
654.0	0.312
656.0	0.324
658.0	0.339
660.0	0.350
662.0	0.361
664.0	0.372
666.0	0.389
668.0	0.410
670.0	0.439
672.0	0.474
674.0	0.518
676.0	0.563
678.0	0.612
680.0	0.671
682.0	0.741
684.0	0.831
686.0	0.931
688.0	1.054
690.0	1.204
692.0	1.400
694.0	1.652
696.0	1.965
698.0	2.367
700.0	2.900
702.0	3.617
704.0	4.579
706.0	5.915
708.0	7.825
710.0	10.615
712.0	14.638
714.0	20.415
716.0	28.356
718.0	38.456
720.0	49.922
722.0	61.027
724.0	70.141
726.0	75.576
728.0	76.922
730.0	74.082
732.0	68.385
734.0	61.183
736.0	54.144
738.0	47.982
740.0	43.209
742.0	39.625
744.0	37.188
746.0	35.577
748.0	34.679
750.0	34.343
752.0	34.474
754.0	35.080
756.0	36.113
758.0	37.570
760.0	39.403
762.0	41.735
764.0	44.610
766.0	47.968
768.0	51.813
770.0	55.959
772.0	60.430
774.0	64.897
776.0	69.439
778.0	73.954
780.0	78.246
782.0	82.155
784.0	85.360
786.0	87.990
788.0	89.782
790.0	90.815
792.0	90.941
794.0	90.311
796.0	88.926
798.0	87.022
800.0	85.568
