[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 13:34:27
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 800,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	10.037
302.0	10.357
304.0	10.269
306.0	10.221
308.0	9.361
310.0	9.820
312.0	9.282
314.0	9.817
316.0	9.530
318.0	9.900
320.0	10.015
322.0	10.308
324.0	11.078
326.0	11.529
328.0	11.784
330.0	12.114
332.0	13.704
334.0	17.440
336.0	23.427
338.0	31.278
340.0	39.397
342.0	46.497
344.0	51.766
346.0	54.431
348.0	54.381
350.0	51.053
352.0	45.041
354.0	37.394
356.0	29.732
358.0	23.118
360.0	17.542
362.0	13.238
364.0	10.014
366.0	8.085
368.0	7.254
370.0	7.250
372.0	7.508
374.0	7.600
376.0	7.432
378.0	7.212
380.0	7.131
382.0	7.274
384.0	7.572
386.0	7.954
388.0	8.360
390.0	8.695
392.0	8.873
394.0	8.798
396.0	8.605
398.0	8.491
400.0	8.860
402.0	9.935
404.0	11.693
406.0	13.822
408.0	15.791
410.0	17.218
412.0	17.798
414.0	17.582
416.0	16.750
418.0	15.705
420.0	14.860
422.0	14.527
424.0	14.754
426.0	15.328
428.0	15.866
430.0	15.949
432.0	15.296
434.0	13.873
436.0	11.937
438.0	9.989
440.0	8.494
442.0	7.857
444.0	8.233
446.0	9.531
448.0	11.396
450.0	13.309
452.0	14.761
454.0	15.403
456.0	15.144
458.0	14.184
460.0	12.918
462.0	11.816
464.0	11.305
466.0	11.611
468.0	12.771
470.0	14.671
472.0	17.008
474.0	19.428
476.0	21.429
478.0	22.587
480.0	22.593
482.0	21.462
484.0	19.456
486.0	17.026
488.0	14.701
490.0	13.077
492.0	12.621
494.0	13.601
496.0	15.936
498.0	19.268
500.0	23.009
502.0	26.513
504.0	29.172
506.0	30.571
508.0	30.477
510.0	28.866
512.0	25.854
514.0	21.877
516.0	17.549
518.0	13.766
520.0	11.493
522.0	11.532
524.0	14.214
526.0	19.137
528.0	25.317
530.0	31.633
532.0	36.783
534.0	40.156
536.0	41.536
538.0	41.578
540.0	41.238
542.0	41.874
544.0	44.773
546.0	50.516
548.0	58.678
550.0	67.943
552.0	76.587
554.0	83.379
556.0	88.102
558.0	91.193
560.0	93.217
562.0	94.471
564.0	95.275
566.0	95.853
568.0	96.247
570.0	96.537
572.0	96.744
574.0	96.915
576.0	97.049
578.0	97.150
580.0	97.228
582.0	97.306
584.0	97.323
586.0	97.379
588.0	97.401
590.0	97.422
592.0	97.444
594.0	97.446
596.0	97.495
598.0	97.485
600.0	97.511
602.0	97.522
604.0	97.527
606.0	97.535
608.0	97.555
610.0	97.559
612.0	97.570
614.0	97.539
616.0	97.508
618.0	97.469
620.0	97.483
622.0	97.545
624.0	97.556
626.0	97.603
628.0	97.579
630.0	97.620
632.0	97.572
634.0	97.535
636.0	97.505
638.0	97.504
640.0	97.574
642.0	97.608
644.0	97.609
646.0	97.572
648.0	97.491
650.0	97.500
652.0	97.502
654.0	97.539
656.0	97.539
658.0	97.543
660.0	97.586
662.0	97.600
664.0	97.632
666.0	97.608
668.0	97.650
670.0	97.626
672.0	97.632
674.0	97.486
676.0	97.469
678.0	97.479
680.0	97.545
682.0	97.542
684.0	97.433
686.0	97.339
688.0	97.194
690.0	96.993
692.0	96.819
694.0	96.604
696.0	96.417
698.0	96.049
700.0	95.631
702.0	95.029
704.0	94.246
706.0	93.052
708.0	91.542
710.0	89.206
712.0	85.935
714.0	81.116
716.0	74.186
718.0	64.608
720.0	52.573
722.0	39.767
724.0	28.263
726.0	20.470
728.0	17.697
730.0	20.069
732.0	26.096
734.0	33.836
736.0	41.489
738.0	48.035
740.0	53.251
742.0	57.000
744.0	59.683
746.0	61.307
748.0	62.385
750.0	62.788
752.0	62.724
754.0	62.166
756.0	61.282
758.0	59.951
760.0	58.176
762.0	55.828
764.0	53.028
766.0	49.671
768.0	45.890
770.0	41.784
772.0	37.412
774.0	32.853
776.0	28.208
778.0	23.677
780.0	19.421
782.0	15.522
784.0	12.165
786.0	9.520
788.0	7.710
790.0	6.787
792.0	6.748
794.0	7.508
796.0	8.950
798.0	10.905
800.0	12.365
