#Diffraction Bragg 4 Lagen CC zum Strahl Transmissionsspektrum
[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 12:18:56
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 800,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	1.365
302.0	1.660
304.0	2.283
306.0	2.787
308.0	3.554
310.0	4.132
312.0	5.087
314.0	6.350
316.0	7.939
318.0	9.297
320.0	10.728
322.0	12.402
324.0	14.328
326.0	16.510
328.0	18.718
330.0	21.415
332.0	24.328
334.0	27.552
336.0	30.795
338.0	34.383
340.0	38.324
342.0	42.736
344.0	47.284
346.0	52.234
348.0	57.142
350.0	61.999
352.0	66.454
354.0	70.741
356.0	74.587
358.0	78.014
360.0	80.913
362.0	83.158
364.0	84.905
366.0	86.038
368.0	86.868
370.0	87.174
372.0	87.275
374.0	87.146
376.0	86.976
378.0	86.711
380.0	86.441
382.0	86.177
384.0	85.836
386.0	85.602
388.0	85.444
390.0	85.521
392.0	85.583
394.0	85.678
396.0	85.863
398.0	86.151
400.0	86.523
402.0	86.882
404.0	87.316
406.0	87.781
408.0	88.269
410.0	88.740
412.0	89.208
414.0	89.736
416.0	90.242
418.0	90.806
420.0	91.284
422.0	91.708
424.0	92.059
426.0	92.358
428.0	92.623
430.0	92.784
432.0	92.834
434.0	92.795
436.0	92.658
438.0	92.453
440.0	92.130
442.0	91.696
444.0	91.181
446.0	90.597
448.0	89.954
450.0	89.165
452.0	88.272
454.0	87.320
456.0	86.301
458.0	85.247
460.0	84.094
462.0	82.972
464.0	81.805
466.0	80.699
468.0	79.546
470.0	78.436
472.0	77.240
474.0	76.009
476.0	74.684
478.0	73.362
480.0	72.026
482.0	70.713
484.0	69.400
486.0	68.161
488.0	66.985
490.0	65.849
492.0	64.750
494.0	63.609
496.0	62.516
498.0	61.427
500.0	60.417
502.0	59.380
504.0	58.366
506.0	57.429
508.0	56.554
510.0	55.699
512.0	54.822
514.0	54.008
516.0	53.234
518.0	52.494
520.0	51.797
522.0	51.140
524.0	50.479
526.0	49.817
528.0	49.151
530.0	48.559
532.0	47.959
534.0	47.432
536.0	46.916
538.0	46.466
540.0	46.024
542.0	45.598
544.0	45.171
546.0	44.738
548.0	44.343
550.0	43.992
552.0	43.650
554.0	43.328
556.0	42.996
558.0	42.728
560.0	42.462
562.0	42.188
564.0	41.928
566.0	41.675
568.0	41.479
570.0	41.260
572.0	41.065
574.0	40.854
576.0	40.673
578.0	40.510
580.0	40.383
582.0	40.260
584.0	40.138
586.0	40.021
588.0	39.934
590.0	39.852
592.0	39.772
594.0	39.705
596.0	39.635
598.0	39.598
600.0	39.561
602.0	39.552
604.0	39.517
606.0	39.506
608.0	39.489
610.0	39.502
612.0	39.486
614.0	39.487
616.0	39.506
618.0	39.553
620.0	39.619
622.0	39.682
624.0	39.731
626.0	39.774
628.0	39.841
630.0	39.911
632.0	40.023
634.0	40.092
636.0	40.168
638.0	40.227
640.0	40.318
642.0	40.440
644.0	40.542
646.0	40.659
648.0	40.751
650.0	40.922
652.0	41.051
654.0	41.217
656.0	41.343
658.0	41.515
660.0	41.652
662.0	41.751
664.0	41.838
666.0	41.946
668.0	42.116
670.0	42.300
672.0	42.509
674.0	42.702
676.0	42.928
678.0	43.141
680.0	43.359
682.0	43.543
684.0	43.742
686.0	43.975
688.0	44.191
690.0	44.401
692.0	44.616
694.0	44.863
696.0	45.080
698.0	45.283
700.0	45.523
702.0	45.804
704.0	46.062
706.0	46.309
708.0	46.580
710.0	46.835
712.0	47.065
714.0	47.275
716.0	47.521
718.0	47.813
720.0	48.063
722.0	48.326
724.0	48.582
726.0	48.882
728.0	49.188
730.0	49.434
732.0	49.733
734.0	49.994
736.0	50.301
738.0	50.596
740.0	50.951
742.0	51.248
744.0	51.528
746.0	51.754
748.0	52.022
750.0	52.369
752.0	52.698
754.0	53.057
756.0	53.364
758.0	53.710
760.0	53.991
762.0	54.274
764.0	54.574
766.0	54.885
768.0	55.227
770.0	55.590
772.0	55.942
774.0	56.251
776.0	56.503
778.0	56.818
780.0	57.138
782.0	57.474
784.0	57.830
786.0	58.180
788.0	58.481
790.0	58.792
792.0	59.127
794.0	59.506
796.0	59.842
798.0	60.150
800.0	60.362
