#Diffraction Bragg Mirror 9 Layers transmission spectrum
[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 12:11:48
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 800,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	0.168
302.0	0.173
304.0	0.232
306.0	0.169
308.0	0.191
310.0	0.196
312.0	0.337
314.0	0.538
316.0	0.942
318.0	1.461
320.0	2.165
322.0	3.059
324.0	4.305
326.0	5.916
328.0	7.901
330.0	10.324
332.0	12.792
334.0	15.609
336.0	18.279
338.0	21.384
340.0	24.994
342.0	29.629
344.0	35.208
346.0	41.378
348.0	47.657
350.0	53.893
352.0	59.319
354.0	64.096
356.0	67.830
358.0	70.889
360.0	73.538
362.0	76.025
364.0	78.508
366.0	80.851
368.0	83.088
370.0	84.884
372.0	86.195
374.0	86.834
376.0	86.938
378.0	86.461
380.0	85.665
382.0	84.775
384.0	83.882
386.0	83.271
388.0	83.025
390.0	83.375
392.0	84.083
394.0	85.182
396.0	86.490
398.0	88.013
400.0	89.514
402.0	90.896
404.0	91.940
406.0	92.502
408.0	92.560
410.0	92.067
412.0	91.146
414.0	89.822
416.0	88.263
418.0	86.607
420.0	84.922
422.0	83.301
424.0	81.897
426.0	80.766
428.0	80.053
430.0	79.705
432.0	79.703
434.0	80.027
436.0	80.691
438.0	81.707
440.0	82.908
442.0	84.234
444.0	85.578
446.0	86.896
448.0	88.082
450.0	88.988
452.0	89.511
454.0	89.571
456.0	89.162
458.0	88.253
460.0	86.895
462.0	85.177
464.0	83.273
466.0	81.298
468.0	79.286
470.0	77.265
472.0	75.240
474.0	73.266
476.0	71.423
478.0	69.819
480.0	68.519
482.0	67.596
484.0	67.017
486.0	66.806
488.0	66.936
490.0	67.407
492.0	68.262
494.0	69.442
496.0	70.970
498.0	72.810
500.0	74.957
502.0	77.350
504.0	79.905
506.0	82.447
508.0	84.843
510.0	86.790
512.0	88.169
514.0	88.726
516.0	88.328
518.0	86.829
520.0	84.257
522.0	80.604
524.0	76.008
526.0	70.646
528.0	64.871
530.0	58.770
532.0	52.813
534.0	47.269
536.0	42.447
538.0	38.126
540.0	34.219
542.0	30.710
544.0	27.611
546.0	24.905
548.0	22.530
550.0	20.431
552.0	18.601
554.0	17.030
556.0	15.678
558.0	14.503
560.0	13.465
562.0	12.555
564.0	11.757
566.0	11.042
568.0	10.407
570.0	9.827
572.0	9.313
574.0	8.841
576.0	8.415
578.0	8.035
580.0	7.698
582.0	7.404
584.0	7.140
586.0	6.908
588.0	6.701
590.0	6.509
592.0	6.336
594.0	6.180
596.0	6.047
598.0	5.931
600.0	5.827
602.0	5.739
604.0	5.660
606.0	5.596
608.0	5.540
610.0	5.496
612.0	5.457
614.0	5.432
616.0	5.420
618.0	5.418
620.0	5.421
622.0	5.429
624.0	5.445
626.0	5.474
628.0	5.509
630.0	5.556
632.0	5.609
634.0	5.667
636.0	5.736
638.0	5.806
640.0	5.898
642.0	5.993
644.0	6.101
646.0	6.206
648.0	6.328
650.0	6.466
652.0	6.620
654.0	6.789
656.0	6.968
658.0	7.147
660.0	7.306
662.0	7.447
664.0	7.593
666.0	7.764
668.0	7.983
670.0	8.246
672.0	8.549
674.0	8.867
676.0	9.207
678.0	9.557
680.0	9.923
682.0	10.304
684.0	10.699
686.0	11.122
688.0	11.571
690.0	12.054
692.0	12.582
694.0	13.135
696.0	13.723
698.0	14.334
700.0	14.983
702.0	15.693
704.0	16.428
706.0	17.212
708.0	18.024
710.0	18.893
712.0	19.807
714.0	20.782
716.0	21.853
718.0	23.007
720.0	24.237
722.0	25.522
724.0	26.883
726.0	28.310
728.0	29.802
730.0	31.334
732.0	32.977
734.0	34.708
736.0	36.574
738.0	38.548
740.0	40.671
742.0	42.845
744.0	44.994
746.0	47.266
748.0	49.613
750.0	52.121
752.0	54.515
754.0	57.029
756.0	59.587
758.0	62.283
760.0	64.955
762.0	67.622
764.0	70.311
766.0	72.959
768.0	75.603
770.0	78.082
772.0	80.471
774.0	82.569
776.0	84.594
778.0	86.291
780.0	87.887
782.0	89.218
784.0	90.471
786.0	91.639
788.0	92.553
790.0	93.373
792.0	93.871
794.0	94.221
796.0	94.365
798.0	86.997
800.0	79.607
