[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 13:27:47
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	230,00 to 2500,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
230.0	6.310
232.0	6.390
234.0	6.507
236.0	6.690
238.0	6.796
240.0	6.892
242.0	6.933
244.0	6.970
246.0	6.974
248.0	6.946
250.0	6.919
252.0	6.863
254.0	6.812
256.0	6.755
258.0	6.725
260.0	6.666
262.0	6.583
264.0	6.501
266.0	6.415
268.0	6.336
270.0	6.271
272.0	6.231
274.0	6.209
276.0	6.197
278.0	6.181
280.0	6.199
282.0	6.226
284.0	6.303
286.0	6.416
288.0	6.512
290.0	6.604
292.0	6.659
294.0	6.867
296.0	6.956
298.0	6.838
300.0	6.808
302.0	7.195
304.0	7.771
306.0	7.599
308.0	7.499
310.0	7.123
312.0	7.044
314.0	6.852
316.0	7.324
318.0	7.475
320.0	7.585
322.0	7.174
324.0	7.261
326.0	7.166
328.0	7.074
330.0	7.117
332.0	7.052
334.0	7.117
336.0	7.171
338.0	7.159
340.0	7.179
342.0	7.147
344.0	7.251
346.0	7.382
348.0	7.503
350.0	7.658
352.0	7.829
354.0	8.053
356.0	8.341
358.0	8.686
360.0	9.104
362.0	9.598
364.0	10.133
366.0	10.643
368.0	11.156
370.0	11.684
372.0	12.254
374.0	12.828
376.0	13.369
378.0	13.961
380.0	14.556
382.0	15.192
384.0	15.798
386.0	16.392
388.0	16.995
390.0	17.577
392.0	18.192
394.0	18.795
396.0	19.399
398.0	19.977
400.0	20.560
402.0	21.156
404.0	21.764
406.0	22.371
408.0	22.944
410.0	23.503
412.0	24.037
414.0	24.622
416.0	25.202
418.0	25.789
420.0	26.329
422.0	26.842
424.0	27.343
426.0	27.844
428.0	28.352
430.0	28.857
432.0	29.388
434.0	29.911
436.0	30.443
438.0	30.945
440.0	31.438
442.0	31.932
444.0	32.484
446.0	33.033
448.0	33.599
450.0	34.153
452.0	34.724
454.0	35.297
456.0	35.876
458.0	36.472
460.0	37.061
462.0	37.642
464.0	38.231
466.0	38.834
468.0	39.423
470.0	40.022
472.0	40.640
474.0	41.332
476.0	42.068
478.0	42.826
480.0	43.542
482.0	44.267
484.0	44.996
486.0	45.748
488.0	46.468
490.0	47.169
492.0	47.893
494.0	48.641
496.0	49.422
498.0	50.166
500.0	50.943
502.0	51.685
504.0	52.484
506.0	53.224
508.0	54.025
510.0	54.754
512.0	55.472
514.0	56.147
516.0	56.861
518.0	57.564
520.0	58.268
522.0	58.931
524.0	59.576
526.0	60.188
528.0	60.800
530.0	61.451
532.0	62.086
534.0	62.669
536.0	63.225
538.0	63.742
540.0	64.229
542.0	64.732
544.0	65.191
546.0	65.688
548.0	66.129
550.0	66.579
552.0	67.021
554.0	67.433
556.0	67.859
558.0	68.254
560.0	68.618
562.0	68.967
564.0	69.277
566.0	69.636
568.0	69.964
570.0	70.284
572.0	70.592
574.0	70.887
576.0	71.233
578.0	71.567
580.0	71.883
582.0	72.189
584.0	72.394
586.0	72.641
588.0	72.867
590.0	73.131
592.0	73.422
594.0	73.692
596.0	73.972
598.0	74.197
600.0	74.423
602.0	74.664
604.0	74.868
606.0	75.119
608.0	75.340
610.0	75.609
612.0	75.845
614.0	76.095
616.0	76.307
618.0	76.482
620.0	76.638
622.0	76.841
624.0	77.031
626.0	77.256
628.0	77.463
630.0	77.712
632.0	77.927
634.0	78.132
636.0	78.298
638.0	78.451
640.0	78.598
642.0	78.771
644.0	78.976
646.0	79.153
648.0	79.358
650.0	79.549
652.0	79.719
654.0	79.882
656.0	80.005
658.0	80.143
660.0	80.255
662.0	80.392
664.0	80.546
666.0	80.652
668.0	80.844
670.0	81.053
672.0	81.297
674.0	81.454
676.0	81.607
678.0	81.771
680.0	81.917
682.0	82.031
684.0	82.157
686.0	82.280
688.0	82.415
690.0	82.546
692.0	82.734
694.0	82.954
696.0	83.092
698.0	83.145
700.0	83.161
702.0	83.226
704.0	83.286
706.0	83.346
708.0	83.492
710.0	83.594
712.0	83.824
714.0	83.994
716.0	84.269
718.0	84.390
720.0	84.528
722.0	84.592
724.0	84.796
726.0	84.808
728.0	84.994
730.0	84.994
732.0	85.157
734.0	85.266
736.0	85.373
738.0	85.514
740.0	85.678
742.0	85.889
744.0	86.029
746.0	86.034
748.0	86.175
750.0	86.288
752.0	86.436
754.0	86.448
756.0	86.572
758.0	86.673
760.0	86.846
762.0	86.954
764.0	87.224
766.0	87.421
768.0	87.596
770.0	87.626
772.0	87.622
774.0	87.694
776.0	87.697
778.0	87.799
780.0	87.840
782.0	87.957
784.0	87.979
786.0	87.990
788.0	88.022
790.0	88.083
792.0	88.271
794.0	88.422
796.0	88.667
798.0	88.794
800.0	88.870
802.0	88.783
804.0	88.729
806.0	88.647
808.0	88.742
810.0	88.771
812.0	88.860
814.0	88.981
816.0	89.168
818.0	89.367
820.0	89.489
822.0	89.455
824.0	89.585
826.0	89.615
828.0	89.740
830.0	89.603
832.0	89.566
834.0	89.438
836.0	89.435
838.0	89.345
840.0	89.308
842.0	89.191
844.0	89.231
846.0	89.194
848.0	89.057
850.0	88.638
852.0	88.358
854.0	88.207
856.0	88.205
858.0	88.098
860.0	87.854
862.0	87.529
864.0	87.061
866.0	86.650
868.0	86.404
870.0	86.562
872.0	86.664
874.0	86.856
876.0	86.928
878.0	87.272
880.0	88.001
882.0	88.523
884.0	89.020
886.0	89.272
888.0	89.174
890.0	89.426
892.0	89.309
894.0	90.093
896.0	89.713
898.0	89.047
900.0	87.040
902.0	85.705
904.0	84.692
906.0	84.644
908.0	84.632
910.0	84.729
912.0	84.879
914.0	85.103
916.0	85.276
918.0	85.407
920.0	85.559
922.0	85.668
924.0	85.831
926.0	85.932
928.0	86.046
930.0	86.093
932.0	86.151
934.0	86.227
936.0	86.265
938.0	86.295
940.0	86.315
942.0	86.321
944.0	86.371
946.0	86.346
948.0	86.372
950.0	86.306
952.0	86.267
954.0	86.206
956.0	86.184
958.0	86.152
960.0	86.175
962.0	86.242
964.0	86.306
966.0	86.356
968.0	86.419
970.0	86.523
972.0	86.570
974.0	86.600
976.0	86.580
978.0	86.625
980.0	86.572
982.0	86.574
984.0	86.538
986.0	86.520
988.0	86.495
990.0	86.453
992.0	86.394
994.0	86.310
996.0	86.224
998.0	86.193
1000.0	86.170
1002.0	86.150
1004.0	86.143
1006.0	86.132
1008.0	86.147
1010.0	86.161
1012.0	86.205
1014.0	86.264
1016.0	86.329
1018.0	86.423
1020.0	86.526
1022.0	86.635
1024.0	86.727
1026.0	86.795
1028.0	86.847
1030.0	86.862
1032.0	86.867
1034.0	86.870
1036.0	86.884
1038.0	86.903
1040.0	86.903
1042.0	86.879
1044.0	86.849
1046.0	86.826
1048.0	86.821
1050.0	86.835
1052.0	86.869
1054.0	86.903
1056.0	86.940
1058.0	86.978
1060.0	87.023
1062.0	87.067
1064.0	87.114
1066.0	87.178
1068.0	87.208
1070.0	87.261
1072.0	87.273
1074.0	87.317
1076.0	87.329
1078.0	87.349
1080.0	87.322
1082.0	87.260
1084.0	87.217
1086.0	87.162
1088.0	87.089
1090.0	86.989
1092.0	86.864
1094.0	86.736
1096.0	86.533
1098.0	86.294
1100.0	86.030
1102.0	85.720
1104.0	85.343
1106.0	84.807
1108.0	84.172
1110.0	83.284
1112.0	82.146
1114.0	80.663
1116.0	78.861
1118.0	76.676
1120.0	74.114
1122.0	71.165
1124.0	67.921
1126.0	64.615
1128.0	61.529
1130.0	59.041
1132.0	57.413
1134.0	56.957
1136.0	57.746
1138.0	59.621
1140.0	62.151
1142.0	64.926
1144.0	67.592
1146.0	70.029
1148.0	72.169
1150.0	74.046
1152.0	75.680
1154.0	77.048
1156.0	78.105
1158.0	78.842
1160.0	79.279
1162.0	79.471
1164.0	79.495
1166.0	79.388
