[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 13:21:13
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	230,00 to 2500,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
230.0	5.666
232.0	5.719
234.0	5.815
236.0	5.939
238.0	6.097
240.0	6.248
242.0	6.379
244.0	6.487
246.0	6.540
248.0	6.577
250.0	6.557
252.0	6.531
254.0	6.472
256.0	6.441
258.0	6.396
260.0	6.356
262.0	6.267
264.0	6.186
266.0	6.094
268.0	6.015
270.0	5.965
272.0	5.938
274.0	5.914
276.0	5.896
278.0	5.859
280.0	5.864
282.0	5.879
284.0	5.973
286.0	6.227
288.0	6.915
290.0	8.452
292.0	11.164
294.0	14.746
296.0	18.908
298.0	23.303
300.0	26.012
302.0	27.660
304.0	28.723
306.0	29.921
308.0	29.698
310.0	29.474
312.0	29.362
314.0	30.487
316.0	30.985
318.0	31.175
320.0	31.245
322.0	30.952
324.0	31.266
326.0	31.740
328.0	32.046
330.0	32.478
332.0	32.414
334.0	32.543
336.0	32.352
338.0	32.427
340.0	32.519
342.0	32.591
344.0	32.658
346.0	32.784
348.0	33.063
350.0	33.270
352.0	33.327
354.0	33.398
356.0	33.451
358.0	33.588
360.0	33.613
362.0	33.721
364.0	33.735
366.0	33.756
368.0	33.775
370.0	33.814
372.0	33.864
374.0	33.927
376.0	34.066
378.0	34.153
380.0	34.260
382.0	34.284
384.0	34.369
386.0	34.420
388.0	34.584
390.0	34.720
392.0	34.847
394.0	34.976
396.0	35.138
398.0	35.333
400.0	35.562
402.0	35.787
404.0	35.978
406.0	36.122
408.0	36.287
410.0	36.506
412.0	36.707
414.0	36.907
416.0	37.110
418.0	37.331
420.0	37.559
422.0	37.776
424.0	38.020
426.0	38.268
428.0	38.534
430.0	38.796
432.0	39.072
434.0	39.410
436.0	39.728
438.0	40.083
440.0	40.389
442.0	40.757
444.0	41.135
446.0	41.562
448.0	41.968
450.0	42.409
452.0	42.894
454.0	43.445
456.0	43.960
458.0	44.418
460.0	44.914
462.0	45.480
464.0	46.116
466.0	46.697
468.0	47.196
470.0	47.679
472.0	48.210
474.0	48.921
476.0	49.695
478.0	50.400
480.0	50.943
482.0	51.502
484.0	52.206
486.0	53.101
488.0	53.894
490.0	54.506
492.0	54.982
494.0	55.551
496.0	56.332
498.0	57.200
500.0	58.048
502.0	58.690
504.0	59.215
506.0	59.710
508.0	60.420
510.0	61.277
512.0	62.132
514.0	62.769
516.0	63.200
518.0	63.567
520.0	64.079
522.0	64.776
524.0	65.626
526.0	66.416
528.0	66.938
530.0	67.250
532.0	67.493
534.0	67.898
536.0	68.529
538.0	69.204
540.0	69.869
542.0	70.265
544.0	70.502
546.0	70.589
548.0	70.791
550.0	71.210
552.0	71.818
554.0	72.403
556.0	72.848
558.0	73.107
560.0	73.161
562.0	73.176
564.0	73.286
566.0	73.649
568.0	74.138
570.0	74.665
572.0	75.094
574.0	75.366
576.0	75.450
578.0	75.431
580.0	75.411
582.0	75.561
584.0	75.845
586.0	76.325
588.0	76.760
590.0	77.134
592.0	77.307
594.0	77.280
596.0	77.160
598.0	77.046
600.0	77.138
602.0	77.439
604.0	77.882
606.0	78.386
608.0	78.774
610.0	78.992
612.0	78.959
614.0	78.776
616.0	78.597
618.0	78.514
620.0	78.630
622.0	78.960
624.0	79.418
626.0	79.943
628.0	80.284
630.0	80.485
632.0	80.401
634.0	80.192
636.0	79.905
638.0	79.774
640.0	79.824
642.0	80.107
644.0	80.557
646.0	81.053
648.0	81.495
650.0	81.722
652.0	81.771
654.0	81.594
656.0	81.277
658.0	81.006
660.0	80.885
662.0	80.989
664.0	81.181
666.0	81.529
668.0	82.029
670.0	82.600
672.0	83.051
674.0	83.202
676.0	83.111
678.0	82.830
680.0	82.559
682.0	82.272
684.0	82.171
686.0	82.254
688.0	82.497
690.0	82.901
692.0	83.386
694.0	83.962
696.0	84.328
698.0	84.467
700.0	84.398
702.0	84.181
704.0	83.832
706.0	83.450
708.0	83.278
710.0	83.199
712.0	83.453
714.0	83.794
716.0	84.333
718.0	84.810
720.0	85.217
722.0	85.525
724.0	85.698
726.0	85.571
728.0	85.347
730.0	84.915
732.0	84.564
734.0	84.325
736.0	84.249
738.0	84.406
740.0	84.668
742.0	85.155
744.0	85.627
746.0	86.013
748.0	86.497
750.0	86.805
752.0	87.040
754.0	86.928
756.0	86.780
758.0	86.516
760.0	86.159
762.0	85.833
764.0	85.697
766.0	85.620
768.0	85.784
770.0	86.061
772.0	86.478
774.0	86.873
776.0	87.340
778.0	87.807
780.0	88.124
782.0	88.252
784.0	88.120
786.0	88.047
788.0	87.635
790.0	87.413
792.0	87.082
794.0	86.869
796.0	86.703
798.0	86.635
800.0	86.618
802.0	86.733
804.0	86.961
806.0	87.469
808.0	87.957
810.0	88.279
812.0	88.598
814.0	89.003
816.0	89.323
818.0	89.358
820.0	89.129
822.0	88.836
824.0	88.641
826.0	88.259
828.0	87.974
830.0	87.414
832.0	87.001
834.0	86.651
836.0	86.734
838.0	86.866
840.0	87.108
842.0	87.230
844.0	87.594
846.0	87.897
848.0	88.090
850.0	88.062
852.0	88.037
854.0	87.990
856.0	88.119
858.0	88.015
860.0	87.936
862.0	87.467
864.0	87.078
866.0	86.799
868.0	86.584
870.0	86.846
872.0	86.533
874.0	86.463
876.0	86.134
878.0	86.288
880.0	86.538
882.0	87.157
884.0	87.406
886.0	88.235
888.0	88.324
890.0	89.267
892.0	89.198
894.0	88.797
896.0	89.157
898.0	88.649
900.0	88.543
902.0	87.055
904.0	86.662
906.0	86.411
908.0	86.332
910.0	86.269
912.0	86.138
914.0	86.067
916.0	86.058
918.0	86.167
920.0	86.341
922.0	86.538
924.0	86.857
926.0	87.140
928.0	87.411
930.0	87.594
932.0	87.817
934.0	87.994
936.0	88.169
938.0	88.214
940.0	88.227
942.0	88.173
944.0	88.139
946.0	87.972
948.0	87.776
950.0	87.515
952.0	87.301
954.0	87.118
956.0	86.933
958.0	86.784
960.0	86.663
962.0	86.628
964.0	86.653
966.0	86.772
968.0	86.949
970.0	87.229
972.0	87.506
974.0	87.792
976.0	88.030
978.0	88.311
980.0	88.537
982.0	88.760
984.0	88.922
986.0	89.062
988.0	89.155
990.0	89.169
992.0	89.137
994.0	89.006
996.0	88.839
998.0	88.600
1000.0	88.357
1002.0	88.078
1004.0	87.834
1006.0	87.600
1008.0	87.406
1010.0	87.253
1012.0	87.129
1014.0	87.083
1016.0	87.105
1018.0	87.177
1020.0	87.303
1022.0	87.455
1024.0	87.666
1026.0	87.897
1028.0	88.138
1030.0	88.388
1032.0	88.646
1034.0	88.900
1036.0	89.144
1038.0	89.355
1040.0	89.512
1042.0	89.598
1044.0	89.628
1046.0	89.622
1048.0	89.555
1050.0	89.434
1052.0	89.266
1054.0	89.048
1056.0	88.809
1058.0	88.525
1060.0	88.250
1062.0	87.967
1064.0	87.735
1066.0	87.538
1068.0	87.384
1070.0	87.269
1072.0	87.195
1074.0	87.195
1076.0	87.273
1078.0	87.418
1080.0	87.598
1082.0	87.789
1084.0	88.034
1086.0	88.291
1088.0	88.565
1090.0	88.829
1092.0	89.073
1094.0	89.314
1096.0	89.555
1098.0	89.760
1100.0	89.935
1102.0	90.027
1104.0	90.091
1106.0	90.085
1108.0	90.057
1110.0	89.959
1112.0	89.826
1114.0	89.640
1116.0	89.411
1118.0	89.179
1120.0	88.913
1122.0	88.653
1124.0	88.388
1126.0	88.168
1128.0	87.991
1130.0	87.818
1132.0	87.705
1134.0	87.618
1136.0	87.595
1138.0	87.610
1140.0	87.698
1142.0	87.829
1144.0	88.016
1146.0	88.232
1148.0	88.488
1150.0	88.725
1152.0	89.004
1154.0	89.281
1156.0	89.560
1158.0	89.823
1160.0	90.086
1162.0	90.350
1164.0	90.570
1166.0	90.757
