[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 12:04:25
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 2500,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	0.039
302.0	0.051
304.0	-0.005
306.0	-0.020
308.0	-0.061
310.0	0.037
312.0	0.048
314.0	0.077
316.0	0.074
318.0	0.108
320.0	0.081
322.0	0.042
324.0	0.087
326.0	0.118
328.0	0.120
330.0	0.114
332.0	0.142
334.0	0.180
336.0	0.217
338.0	0.277
340.0	0.356
342.0	0.469
344.0	0.604
346.0	0.777
348.0	0.956
350.0	1.153
352.0	1.350
354.0	1.569
356.0	1.802
358.0	2.059
360.0	2.341
362.0	2.626
364.0	2.907
366.0	3.167
368.0	3.428
370.0	3.683
372.0	3.933
374.0	4.173
376.0	4.413
378.0	4.659
380.0	4.922
382.0	5.175
384.0	5.424
386.0	5.660
388.0	5.899
390.0	6.133
392.0	6.364
394.0	6.594
396.0	6.825
398.0	7.049
400.0	7.276
402.0	7.503
404.0	7.735
406.0	7.955
408.0	8.170
410.0	8.371
412.0	8.580
414.0	8.772
416.0	8.980
418.0	9.187
420.0	9.392
422.0	9.580
424.0	9.747
426.0	9.927
428.0	10.101
430.0	10.273
432.0	10.436
434.0	10.593
436.0	10.754
438.0	10.905
440.0	11.044
442.0	11.174
444.0	11.300
446.0	11.420
448.0	11.535
450.0	11.642
452.0	11.753
454.0	11.858
456.0	11.949
458.0	12.025
460.0	12.089
462.0	12.154
464.0	12.214
466.0	12.263
468.0	12.291
470.0	12.318
472.0	12.354
474.0	12.390
476.0	12.413
478.0	12.421
480.0	12.421
482.0	12.432
484.0	12.422
486.0	12.402
488.0	12.348
490.0	12.297
492.0	12.256
494.0	12.211
496.0	12.175
498.0	12.099
500.0	12.019
502.0	11.924
504.0	11.843
506.0	11.769
508.0	11.680
510.0	11.572
512.0	11.446
514.0	11.337
516.0	11.238
518.0	11.148
520.0	11.035
522.0	10.905
524.0	10.758
526.0	10.613
528.0	10.498
530.0	10.387
532.0	10.263
534.0	10.117
536.0	9.967
538.0	9.833
540.0	9.713
542.0	9.615
544.0	9.507
546.0	9.389
548.0	9.251
550.0	9.118
552.0	8.988
554.0	8.875
556.0	8.773
558.0	8.684
560.0	8.583
562.0	8.471
564.0	8.359
566.0	8.248
568.0	8.147
570.0	8.051
572.0	7.971
574.0	7.886
576.0	7.799
578.0	7.705
580.0	7.619
582.0	7.524
584.0	7.425
586.0	7.340
588.0	7.263
590.0	7.199
592.0	7.130
594.0	7.068
596.0	6.990
598.0	6.907
600.0	6.809
602.0	6.727
604.0	6.655
606.0	6.609
608.0	6.568
610.0	6.527
612.0	6.467
614.0	6.388
616.0	6.300
618.0	6.211
620.0	6.143
622.0	6.094
624.0	6.058
626.0	6.027
628.0	5.991
630.0	5.943
632.0	5.878
634.0	5.793
636.0	5.712
638.0	5.636
640.0	5.588
642.0	5.558
644.0	5.542
646.0	5.527
648.0	5.496
650.0	5.447
652.0	5.369
654.0	5.276
656.0	5.189
658.0	5.128
660.0	5.099
662.0	5.088
664.0	5.090
666.0	5.089
668.0	5.082
670.0	5.045
672.0	4.978
674.0	4.891
676.0	4.805
678.0	4.738
680.0	4.690
682.0	4.678
684.0	4.679
686.0	4.690
688.0	4.681
690.0	4.658
692.0	4.618
694.0	4.553
696.0	4.469
698.0	4.387
700.0	4.323
702.0	4.302
704.0	4.293
706.0	4.301
708.0	4.307
710.0	4.312
712.0	4.301
714.0	4.273
716.0	4.225
718.0	4.160
720.0	4.085
722.0	4.020
724.0	3.982
726.0	3.969
728.0	3.970
730.0	3.971
732.0	3.971
734.0	3.961
736.0	3.953
738.0	3.932
740.0	3.893
742.0	3.840
744.0	3.774
746.0	3.726
748.0	3.679
750.0	3.654
752.0	3.636
754.0	3.636
756.0	3.656
758.0	3.663
760.0	3.669
762.0	3.644
764.0	3.619
766.0	3.573
768.0	3.533
770.0	3.487
772.0	3.451
774.0	3.420
776.0	3.386
778.0	3.372
780.0	3.361
782.0	3.376
784.0	3.376
786.0	3.374
788.0	3.359
790.0	3.342
792.0	3.326
794.0	3.293
796.0	3.259
798.0	3.218
800.0	3.198
802.0	3.178
804.0	3.147
806.0	3.131
808.0	3.112
810.0	3.115
812.0	3.098
814.0	3.106
816.0	3.101
818.0	3.088
820.0	3.059
822.0	3.028
824.0	3.011
826.0	2.990
828.0	2.971
830.0	2.940
832.0	2.906
834.0	2.877
836.0	2.864
838.0	2.861
840.0	2.865
842.0	2.878
844.0	2.906
846.0	2.920
848.0	2.917
850.0	2.906
852.0	2.900
854.0	2.873
856.0	2.835
858.0	2.775
860.0	2.728
862.0	2.690
864.0	2.671
866.0	2.661
868.0	2.635
870.0	2.620
872.0	2.625
874.0	2.641
876.0	2.647
878.0	2.684
880.0	2.687
882.0	2.697
884.0	2.642
886.0	2.673
888.0	2.648
890.0	2.630
892.0	2.564
894.0	2.560
896.0	2.546
898.0	2.514
900.0	2.465
902.0	2.476
904.0	2.467
906.0	2.461
908.0	2.422
910.0	2.402
912.0	2.421
914.0	2.448
916.0	2.470
918.0	2.460
920.0	2.456
922.0	2.444
924.0	2.425
926.0	2.385
928.0	2.366
930.0	2.350
932.0	2.338
934.0	2.310
936.0	2.289
938.0	2.264
940.0	2.251
942.0	2.248
944.0	2.257
946.0	2.259
948.0	2.231
950.0	2.230
952.0	2.251
954.0	2.271
956.0	2.284
958.0	2.294
960.0	2.302
962.0	2.290
964.0	2.264
966.0	2.253
968.0	2.229
970.0	2.193
972.0	2.164
974.0	2.132
976.0	2.115
978.0	2.095
980.0	2.080
982.0	2.066
984.0	2.060
986.0	2.060
988.0	2.072
990.0	2.077
992.0	2.089
994.0	2.081
996.0	2.092
998.0	2.093
1000.0	2.104
1002.0	2.111
1004.0	2.115
1006.0	2.113
1008.0	2.085
1010.0	2.057
1012.0	2.045
1014.0	2.026
1016.0	2.006
1018.0	1.971
1020.0	1.957
1022.0	1.930
1024.0	1.913
1026.0	1.894
1028.0	1.896
1030.0	1.899
1032.0	1.894
1034.0	1.899
1036.0	1.897
1038.0	1.899
1040.0	1.894
1042.0	1.896
1044.0	1.914
1046.0	1.926
1048.0	1.944
1050.0	1.937
1052.0	1.935
1054.0	1.924
1056.0	1.921
1058.0	1.909
1060.0	1.898
1062.0	1.885
1064.0	1.869
1066.0	1.848
1068.0	1.820
1070.0	1.804
1072.0	1.786
1074.0	1.765
1076.0	1.747
1078.0	1.731
1080.0	1.724
1082.0	1.714
1084.0	1.714
1086.0	1.716
1088.0	1.725
1090.0	1.726
1092.0	1.734
1094.0	1.740
1096.0	1.747
1098.0	1.755
1100.0	1.749
1102.0	1.758
1104.0	1.754
1106.0	1.745
1108.0	1.723
1110.0	1.703
1112.0	1.683
1114.0	1.651
1116.0	1.610
1118.0	1.563
1120.0	1.519
1122.0	1.466
1124.0	1.410
1126.0	1.351
1128.0	1.303
1130.0	1.259
1132.0	1.229
1134.0	1.219
1136.0	1.228
1138.0	1.252
1140.0	1.277
1142.0	1.308
1144.0	1.344
1146.0	1.376
1148.0	1.415
1150.0	1.438
1152.0	1.458
1154.0	1.474
1156.0	1.491
1158.0	1.509
1160.0	1.518
1162.0	1.523
1164.0	1.519
1166.0	1.511
1168.0	1.502
1170.0	1.496
1172.0	1.483
1174.0	1.467
1176.0	1.448
1178.0	1.429
1180.0	1.413
1182.0	1.393
1184.0	1.375
1186.0	1.355
1188.0	1.341
1190.0	1.340
1192.0	1.342
1194.0	1.351
1196.0	1.359
1198.0	1.367
1200.0	1.373
1202.0	1.380
1204.0	1.386
1206.0	1.392
1208.0	1.389
1210.0	1.390
1212.0	1.390
1214.0	1.398
1216.0	1.408
1218.0	1.421
1220.0	1.429
1222.0	1.435
1224.0	1.436
1226.0	1.443
1228.0	1.445
