[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 13:00:58
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	230,00 to 2500,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
230.0	7.129
232.0	7.201
234.0	7.232
236.0	7.115
238.0	6.934
240.0	6.736
242.0	6.563
244.0	6.382
246.0	6.189
248.0	6.015
250.0	5.827
252.0	5.676
254.0	5.512
256.0	5.386
258.0	5.268
260.0	5.168
262.0	5.083
264.0	5.010
266.0	4.933
268.0	4.879
270.0	4.802
272.0	4.759
274.0	4.687
276.0	4.646
278.0	4.607
280.0	4.582
282.0	4.568
284.0	4.547
286.0	4.556
288.0	4.576
290.0	4.587
292.0	4.590
294.0	4.709
296.0	4.703
298.0	5.210
300.0	5.311
302.0	5.561
304.0	5.367
306.0	5.380
308.0	5.468
310.0	5.849
312.0	5.911
314.0	6.296
316.0	5.708
318.0	6.141
320.0	5.993
322.0	6.396
324.0	6.147
326.0	6.410
328.0	6.816
330.0	7.209
332.0	7.317
334.0	7.326
336.0	7.445
338.0	7.565
340.0	7.732
342.0	7.843
344.0	7.897
346.0	7.959
348.0	8.020
350.0	8.080
352.0	8.070
354.0	8.096
356.0	8.082
358.0	8.112
360.0	8.083
362.0	8.090
364.0	8.097
366.0	8.100
368.0	8.116
370.0	8.116
372.0	8.120
374.0	8.130
376.0	8.135
378.0	8.149
380.0	8.171
382.0	8.192
384.0	8.208
386.0	8.204
388.0	8.222
390.0	8.239
392.0	8.265
394.0	8.286
396.0	8.312
398.0	8.336
400.0	8.367
402.0	8.390
404.0	8.405
406.0	8.409
408.0	8.407
410.0	8.409
412.0	8.399
414.0	8.403
416.0	8.403
418.0	8.414
420.0	8.415
422.0	8.418
424.0	8.406
426.0	8.399
428.0	8.381
430.0	8.373
432.0	8.352
434.0	8.348
436.0	8.340
438.0	8.343
440.0	8.329
442.0	8.321
444.0	8.314
446.0	8.302
448.0	8.292
450.0	8.279
452.0	8.279
454.0	8.266
456.0	8.256
458.0	8.236
460.0	8.228
462.0	8.218
464.0	8.212
466.0	8.194
468.0	8.184
470.0	8.172
472.0	8.166
474.0	8.162
476.0	8.170
478.0	8.175
480.0	8.174
482.0	8.169
484.0	8.162
486.0	8.162
488.0	8.154
490.0	8.156
492.0	8.148
494.0	8.150
496.0	8.134
498.0	8.125
500.0	8.124
502.0	8.124
504.0	8.123
506.0	8.111
508.0	8.112
510.0	8.105
512.0	8.103
514.0	8.092
516.0	8.091
518.0	8.090
520.0	8.090
522.0	8.083
524.0	8.073
526.0	8.078
528.0	8.071
530.0	8.068
532.0	8.052
534.0	8.049
536.0	8.046
538.0	8.037
540.0	8.032
542.0	8.027
544.0	8.034
546.0	8.022
548.0	8.016
550.0	7.999
552.0	8.003
554.0	7.998
556.0	8.001
558.0	7.989
560.0	7.980
562.0	7.973
564.0	7.977
566.0	7.974
568.0	7.963
570.0	7.947
572.0	7.942
574.0	7.936
576.0	7.930
578.0	7.922
580.0	7.918
582.0	7.920
584.0	7.910
586.0	7.913
588.0	7.913
590.0	7.915
592.0	7.913
594.0	7.910
596.0	7.904
598.0	7.895
600.0	7.898
602.0	7.901
604.0	7.901
606.0	7.894
608.0	7.894
610.0	7.890
612.0	7.882
614.0	7.870
616.0	7.870
618.0	7.867
620.0	7.875
622.0	7.875
624.0	7.874
626.0	7.872
628.0	7.864
630.0	7.856
632.0	7.852
634.0	7.850
636.0	7.854
638.0	7.845
640.0	7.842
642.0	7.835
644.0	7.845
646.0	7.829
648.0	7.827
650.0	7.806
652.0	7.820
654.0	7.819
656.0	7.819
658.0	7.803
660.0	7.784
662.0	7.781
664.0	7.776
666.0	7.782
668.0	7.789
670.0	7.806
672.0	7.806
674.0	7.805
676.0	7.804
678.0	7.815
680.0	7.820
682.0	7.824
684.0	7.812
686.0	7.824
688.0	7.817
690.0	7.832
692.0	7.827
694.0	7.824
696.0	7.805
698.0	7.798
700.0	7.803
702.0	7.809
704.0	7.811
706.0	7.808
708.0	7.812
710.0	7.798
712.0	7.791
714.0	7.793
716.0	7.795
718.0	7.792
720.0	7.774
722.0	7.768
724.0	7.767
726.0	7.775
728.0	7.770
730.0	7.751
732.0	7.747
734.0	7.758
736.0	7.784
738.0	7.791
740.0	7.792
742.0	7.801
744.0	7.789
746.0	7.793
748.0	7.782
750.0	7.777
752.0	7.774
754.0	7.773
756.0	7.799
758.0	7.795
760.0	7.794
762.0	7.786
764.0	7.782
766.0	7.766
768.0	7.760
770.0	7.764
772.0	7.791
774.0	7.770
776.0	7.775
778.0	7.742
780.0	7.764
782.0	7.744
784.0	7.763
786.0	7.747
788.0	7.743
790.0	7.717
792.0	7.742
794.0	7.768
796.0	7.775
798.0	7.762
800.0	7.739
802.0	7.750
804.0	7.736
806.0	7.764
808.0	7.739
810.0	7.727
812.0	7.711
814.0	7.718
816.0	7.722
818.0	7.712
820.0	7.735
822.0	7.749
824.0	7.746
826.0	7.736
828.0	7.730
830.0	7.753
832.0	7.781
834.0	7.823
836.0	7.840
838.0	7.844
840.0	7.837
842.0	7.838
844.0	7.816
846.0	7.802
848.0	7.795
850.0	7.779
852.0	7.767
854.0	7.757
856.0	7.779
858.0	7.814
860.0	7.801
862.0	7.776
864.0	7.708
866.0	7.713
868.0	7.751
870.0	7.831
872.0	7.823
874.0	7.782
876.0	7.718
878.0	7.622
880.0	7.659
882.0	7.693
884.0	7.785
886.0	7.841
888.0	7.721
890.0	7.696
892.0	7.622
894.0	7.585
896.0	7.606
898.0	7.464
900.0	7.717
902.0	7.848
904.0	8.072
906.0	8.072
908.0	8.124
910.0	8.154
912.0	8.170
914.0	8.151
916.0	8.092
918.0	8.055
920.0	8.008
922.0	8.073
924.0	8.110
926.0	8.159
928.0	8.151
930.0	8.112
932.0	8.080
934.0	8.080
936.0	8.109
938.0	8.094
940.0	8.107
942.0	8.108
944.0	8.112
946.0	8.106
948.0	8.121
950.0	8.133
952.0	8.130
954.0	8.125
956.0	8.128
958.0	8.126
960.0	8.127
962.0	8.135
964.0	8.139
966.0	8.142
968.0	8.141
970.0	8.144
972.0	8.150
974.0	8.144
976.0	8.145
978.0	8.154
980.0	8.156
982.0	8.170
984.0	8.160
986.0	8.145
988.0	8.135
990.0	8.132
992.0	8.161
994.0	8.148
996.0	8.127
998.0	8.113
1000.0	8.114
1002.0	8.114
1004.0	8.111
1006.0	8.107
1008.0	8.105
1010.0	8.102
1012.0	8.094
1014.0	8.098
1016.0	8.097
1018.0	8.100
1020.0	8.105
1022.0	8.095
1024.0	8.090
1026.0	8.089
1028.0	8.096
1030.0	8.105
1032.0	8.090
1034.0	8.082
1036.0	8.079
1038.0	8.092
1040.0	8.094
1042.0	8.089
1044.0	8.074
1046.0	8.070
1048.0	8.066
1050.0	8.092
1052.0	8.086
1054.0	8.085
1056.0	8.060
1058.0	8.061
1060.0	8.063
1062.0	8.065
1064.0	8.061
1066.0	8.059
1068.0	8.056
1070.0	8.051
1072.0	8.059
1074.0	8.053
1076.0	8.062
1078.0	8.050
1080.0	8.054
1082.0	8.055
1084.0	8.057
1086.0	8.051
1088.0	8.047
1090.0	8.053
1092.0	8.061
1094.0	8.053
1096.0	8.045
1098.0	8.038
1100.0	8.039
1102.0	8.032
1104.0	8.025
1106.0	8.024
1108.0	8.021
1110.0	8.020
1112.0	8.016
1114.0	8.023
1116.0	8.022
1118.0	8.021
1120.0	8.015
1122.0	8.015
1124.0	8.022
1126.0	8.021
1128.0	8.018
1130.0	8.010
1132.0	8.013
1134.0	8.019
1136.0	8.023
1138.0	8.025
1140.0	8.023
1142.0	8.021
1144.0	8.025
1146.0	8.033
1148.0	8.040
1150.0	8.028
1152.0	8.028
1154.0	8.027
1156.0	8.036
1158.0	8.028
1160.0	8.033
1162.0	8.038
1164.0	8.048
1166.0	8.041
