[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 10:54:33
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	230,00 to 2300,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
230.0	3.369
232.0	3.373
234.0	3.315
236.0	3.134
238.0	2.902
240.0	2.646
242.0	2.359
244.0	2.087
246.0	1.812
248.0	1.572
250.0	1.345
252.0	1.145
254.0	0.973
256.0	0.823
258.0	0.699
260.0	0.597
262.0	0.512
264.0	0.438
266.0	0.378
268.0	0.330
270.0	0.292
272.0	0.257
274.0	0.227
276.0	0.215
278.0	0.227
280.0	0.287
282.0	0.416
284.0	0.667
286.0	1.096
288.0	1.783
290.0	2.803
292.0	4.245
294.0	6.247
296.0	8.721
298.0	11.512
300.0	15.406
302.0	19.879
304.0	24.125
306.0	28.150
308.0	32.487
310.0	37.690
312.0	43.736
314.0	49.249
316.0	54.814
318.0	58.693
320.0	62.685
322.0	65.582
324.0	68.143
326.0	70.112
328.0	73.004
330.0	75.477
332.0	77.621
334.0	79.103
336.0	80.340
338.0	81.771
340.0	83.131
342.0	84.460
344.0	85.358
346.0	85.870
348.0	86.663
350.0	87.228
352.0	87.607
354.0	88.045
356.0	88.468
358.0	88.713
360.0	88.985
362.0	89.298
364.0	89.607
366.0	89.687
368.0	89.754
370.0	89.858
372.0	90.012
374.0	90.005
376.0	89.980
378.0	89.901
380.0	90.017
382.0	90.155
384.0	90.357
386.0	90.526
388.0	90.729
390.0	90.852
392.0	90.916
394.0	90.996
396.0	91.035
398.0	91.127
400.0	91.105
402.0	91.100
404.0	91.087
406.0	91.104
408.0	91.116
410.0	91.135
412.0	91.151
414.0	91.183
416.0	91.204
418.0	91.237
420.0	91.254
422.0	91.277
424.0	91.296
426.0	91.347
428.0	91.342
430.0	91.304
432.0	91.283
434.0	91.264
436.0	91.269
438.0	91.272
440.0	91.278
442.0	91.292
444.0	91.316
446.0	91.330
448.0	91.333
450.0	91.353
452.0	91.403
454.0	91.449
456.0	91.434
458.0	91.440
460.0	91.466
462.0	91.495
464.0	91.505
466.0	91.524
468.0	91.527
470.0	91.514
472.0	91.481
474.0	91.486
476.0	91.547
478.0	91.555
480.0	91.536
482.0	91.503
484.0	91.528
486.0	91.538
488.0	91.555
490.0	91.564
492.0	91.620
494.0	91.596
496.0	91.603
498.0	91.588
500.0	91.653
502.0	91.637
504.0	91.602
506.0	91.585
508.0	91.600
510.0	91.630
512.0	91.621
514.0	91.648
516.0	91.667
518.0	91.672
520.0	91.689
522.0	91.704
524.0	91.748
526.0	91.750
528.0	91.760
530.0	91.746
532.0	91.741
534.0	91.720
536.0	91.702
538.0	91.718
540.0	91.775
542.0	91.810
544.0	91.801
546.0	91.811
548.0	91.814
550.0	91.836
552.0	91.802
554.0	91.794
556.0	91.768
558.0	91.757
560.0	91.775
562.0	91.789
564.0	91.838
566.0	91.805
568.0	91.845
570.0	91.820
572.0	91.840
574.0	91.807
576.0	91.811
578.0	91.810
580.0	91.807
582.0	91.836
584.0	91.836
586.0	91.859
588.0	91.792
590.0	91.785
592.0	91.783
594.0	91.802
596.0	91.813
598.0	91.799
600.0	91.831
602.0	91.843
604.0	91.844
606.0	91.823
608.0	91.812
610.0	91.835
612.0	91.846
614.0	91.866
616.0	91.839
618.0	91.823
620.0	91.816
622.0	91.853
624.0	91.860
626.0	91.841
628.0	91.796
630.0	91.773
632.0	91.781
634.0	91.770
636.0	91.761
638.0	91.758
640.0	91.776
642.0	91.802
644.0	91.813
646.0	91.814
648.0	91.820
650.0	91.777
652.0	91.802
654.0	91.768
656.0	91.806
658.0	91.795
660.0	91.859
662.0	91.859
664.0	91.861
666.0	91.853
668.0	91.830
670.0	91.818
672.0	91.820
674.0	91.868
676.0	91.858
678.0	91.866
680.0	91.837
682.0	91.867
684.0	91.822
686.0	91.808
688.0	91.822
690.0	91.860
692.0	91.904
694.0	91.950
696.0	91.921
698.0	91.898
700.0	91.797
702.0	91.785
704.0	91.784
706.0	91.822
708.0	91.882
710.0	91.902
712.0	91.928
714.0	91.866
716.0	91.835
718.0	91.834
720.0	91.839
722.0	91.910
724.0	91.947
726.0	91.981
728.0	91.964
730.0	91.952
732.0	91.943
734.0	91.992
736.0	91.956
738.0	91.952
740.0	91.891
742.0	91.862
744.0	91.878
746.0	91.921
748.0	91.971
750.0	92.055
752.0	92.008
754.0	92.008
756.0	91.964
758.0	91.965
760.0	91.920
762.0	91.859
764.0	91.870
766.0	91.999
768.0	92.079
770.0	92.088
772.0	92.010
774.0	91.934
776.0	91.933
778.0	92.011
780.0	92.015
782.0	91.971
784.0	91.743
786.0	91.754
788.0	91.760
790.0	91.922
792.0	91.898
794.0	91.862
796.0	91.777
798.0	91.783
800.0	91.869
802.0	92.061
804.0	92.038
806.0	92.031
808.0	91.890
810.0	91.896
812.0	91.837
814.0	91.855
816.0	91.932
818.0	91.983
820.0	91.895
822.0	91.923
824.0	91.974
826.0	92.067
828.0	91.984
830.0	91.922
832.0	91.996
834.0	92.036
836.0	91.999
838.0	91.963
840.0	91.933
842.0	91.927
844.0	91.810
846.0	91.981
848.0	92.047
850.0	92.058
852.0	92.073
854.0	92.042
856.0	92.261
858.0	92.069
860.0	92.068
862.0	91.903
864.0	92.024
866.0	91.907
868.0	92.040
870.0	91.995
872.0	92.154
874.0	92.094
876.0	92.265
878.0	92.608
880.0	92.567
882.0	92.189
884.0	91.930
886.0	91.897
888.0	92.087
890.0	92.003
892.0	91.859
894.0	92.185
896.0	91.920
898.0	92.390
900.0	92.038
902.0	92.323
904.0	92.040
906.0	92.097
908.0	92.048
910.0	92.043
912.0	92.054
914.0	92.063
916.0	92.112
918.0	92.090
920.0	92.098
922.0	92.091
924.0	92.121
926.0	92.190
928.0	92.191
930.0	92.165
932.0	92.144
934.0	92.151
936.0	92.156
938.0	92.167
940.0	92.184
942.0	92.245
944.0	92.261
946.0	92.212
948.0	92.181
950.0	92.173
952.0	92.182
954.0	92.186
956.0	92.225
958.0	92.252
960.0	92.292
962.0	92.282
964.0	92.279
966.0	92.260
968.0	92.223
970.0	92.271
972.0	92.273
974.0	92.296
976.0	92.250
978.0	92.262
980.0	92.259
982.0	92.283
984.0	92.283
986.0	92.299
988.0	92.319
990.0	92.312
992.0	92.333
994.0	92.326
996.0	92.351
998.0	92.332
1000.0	92.331
1002.0	92.344
1004.0	92.384
1006.0	92.398
1008.0	92.380
1010.0	92.374
1012.0	92.367
1014.0	92.396
1016.0	92.404
1018.0	92.415
1020.0	92.411
1022.0	92.400
1024.0	92.421
1026.0	92.434
1028.0	92.444
1030.0	92.432
1032.0	92.448
1034.0	92.453
1036.0	92.461
1038.0	92.464
1040.0	92.469
1042.0	92.471
1044.0	92.467
1046.0	92.492
1048.0	92.508
1050.0	92.507
1052.0	92.486
1054.0	92.481
1056.0	92.491
1058.0	92.496
1060.0	92.504
1062.0	92.495
1064.0	92.484
1066.0	92.480
1068.0	92.496
1070.0	92.513
1072.0	92.525
1074.0	92.536
1076.0	92.552
1078.0	92.554
1080.0	92.552
1082.0	92.559
1084.0	92.572
1086.0	92.578
1088.0	92.587
1090.0	92.582
1092.0	92.581
1094.0	92.555
1096.0	92.556
1098.0	92.557
1100.0	92.574
1102.0	92.586
1104.0	92.598
1106.0	92.608
1108.0	92.616
1110.0	92.615
1112.0	92.610
1114.0	92.614
1116.0	92.598
1118.0	92.617
1120.0	92.608
1122.0	92.628
1124.0	92.627
1126.0	92.621
1128.0	92.622
1130.0	92.626
1132.0	92.634
1134.0	92.644
1136.0	92.650
1138.0	92.672
1140.0	92.671
1142.0	92.671
1144.0	92.657
1146.0	92.656
1148.0	92.662
1150.0	92.673
1152.0	92.694
1154.0	92.697
1156.0	92.707
1158.0	92.706
1160.0	92.704
1162.0	92.703
1164.0	92.701
1166.0	92.713
