[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 13:44:36
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	400,00 to 800,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
400.0	4.802
402.0	4.792
404.0	4.790
406.0	4.786
408.0	4.789
410.0	4.782
412.0	4.782
414.0	4.782
416.0	4.784
418.0	4.782
420.0	4.781
422.0	4.777
424.0	4.776
426.0	4.766
428.0	4.758
430.0	4.751
432.0	4.748
434.0	4.748
436.0	4.740
438.0	4.736
440.0	4.728
442.0	4.726
444.0	4.714
446.0	4.707
448.0	4.694
450.0	4.694
452.0	4.689
454.0	4.685
456.0	4.678
458.0	4.669
460.0	4.666
462.0	4.651
464.0	4.645
466.0	4.635
468.0	4.642
470.0	4.640
472.0	4.636
474.0	4.631
476.0	4.630
478.0	4.632
480.0	4.635
482.0	4.656
484.0	4.746
486.0	5.031
488.0	5.735
490.0	7.207
492.0	9.896
494.0	14.118
496.0	20.034
498.0	27.326
500.0	35.536
502.0	43.814
504.0	51.557
506.0	58.155
508.0	63.582
510.0	67.767
512.0	71.007
514.0	73.395
516.0	75.217
518.0	76.591
520.0	77.612
522.0	78.283
524.0	78.679
526.0	78.815
528.0	78.742
530.0	78.372
532.0	77.667
534.0	76.435
536.0	74.293
538.0	70.515
540.0	64.385
542.0	55.827
544.0	45.947
546.0	36.697
548.0	29.537
550.0	24.521
552.0	20.788
554.0	18.114
556.0	17.593
558.0	20.299
560.0	26.004
562.0	32.782
564.0	38.569
566.0	42.329
568.0	44.156
570.0	44.675
572.0	44.320
574.0	43.405
576.0	42.129
578.0	40.622
580.0	38.975
582.0	37.231
584.0	35.419
586.0	33.624
588.0	31.851
590.0	30.112
592.0	28.364
594.0	26.639
596.0	24.952
598.0	23.288
600.0	21.697
602.0	20.172
604.0	18.748
606.0	17.419
608.0	16.183
610.0	15.030
612.0	13.946
614.0	12.945
616.0	12.038
618.0	11.202
620.0	10.438
622.0	9.735
624.0	9.088
626.0	8.492
628.0	7.964
630.0	7.500
632.0	7.091
634.0	6.733
636.0	6.425
638.0	6.152
640.0	5.904
642.0	5.687
644.0	5.501
646.0	5.339
648.0	5.191
650.0	5.066
652.0	4.961
654.0	4.870
656.0	4.786
658.0	4.720
660.0	4.671
662.0	4.630
664.0	4.595
666.0	4.559
668.0	4.544
670.0	4.527
672.0	4.515
674.0	4.495
676.0	4.485
678.0	4.476
680.0	4.467
682.0	4.462
684.0	4.451
686.0	4.449
688.0	4.440
690.0	4.440
692.0	4.422
694.0	4.423
696.0	4.426
698.0	4.436
700.0	4.431
702.0	4.433
704.0	4.434
706.0	4.425
708.0	4.418
710.0	4.408
712.0	4.422
714.0	4.421
716.0	4.436
718.0	4.427
720.0	4.430
722.0	4.427
724.0	4.427
726.0	4.425
728.0	4.413
730.0	4.427
732.0	4.429
734.0	4.446
736.0	4.444
738.0	4.438
740.0	4.432
742.0	4.422
744.0	4.418
746.0	4.416
748.0	4.423
750.0	4.425
752.0	4.419
754.0	4.424
756.0	4.437
758.0	4.458
760.0	4.443
762.0	4.434
764.0	4.427
766.0	4.435
768.0	4.423
770.0	4.422
772.0	4.421
774.0	4.436
776.0	4.429
778.0	4.443
780.0	4.437
782.0	4.448
784.0	4.443
786.0	4.445
788.0	4.430
790.0	4.424
792.0	4.426
794.0	4.440
796.0	4.456
798.0	4.471
800.0	4.481
