[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 12:34:57
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	400,00 to 800,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
400.0	0.005
402.0	0.004
404.0	0.003
406.0	0.000
408.0	-0.001
410.0	-0.001
412.0	0.001
414.0	0.000
416.0	-0.000
418.0	-0.000
420.0	-0.000
422.0	0.001
424.0	-0.000
426.0	-0.001
428.0	-0.001
430.0	0.001
432.0	0.001
434.0	0.001
436.0	0.001
438.0	0.000
440.0	0.001
442.0	-0.000
444.0	0.000
446.0	-0.001
448.0	0.001
450.0	0.002
452.0	0.002
454.0	0.001
456.0	0.001
458.0	0.000
460.0	-0.000
462.0	0.001
464.0	0.001
466.0	0.002
468.0	0.002
470.0	0.002
472.0	0.003
474.0	0.003
476.0	0.006
478.0	0.017
480.0	0.057
482.0	0.168
484.0	0.433
486.0	0.961
488.0	1.870
490.0	3.260
492.0	5.154
494.0	7.398
496.0	9.695
498.0	11.590
500.0	12.721
502.0	12.832
504.0	12.016
506.0	10.515
508.0	8.645
510.0	6.671
512.0	4.801
514.0	3.245
516.0	2.081
518.0	1.311
520.0	0.832
522.0	0.545
524.0	0.373
526.0	0.262
528.0	0.190
530.0	0.139
532.0	0.105
534.0	0.081
536.0	0.065
538.0	0.053
540.0	0.045
542.0	0.038
544.0	0.031
546.0	0.026
548.0	0.023
550.0	0.020
552.0	0.017
554.0	0.014
556.0	0.013
558.0	0.010
560.0	0.010
562.0	0.010
564.0	0.009
566.0	0.007
568.0	0.006
570.0	0.006
572.0	0.006
574.0	0.008
576.0	0.007
578.0	0.005
580.0	0.003
582.0	0.004
584.0	0.004
586.0	0.005
588.0	0.003
590.0	0.004
592.0	0.004
594.0	0.004
596.0	0.003
598.0	0.003
600.0	0.004
602.0	0.004
604.0	0.003
606.0	0.003
608.0	0.004
610.0	0.004
612.0	0.003
614.0	0.001
616.0	0.002
618.0	0.001
620.0	0.003
622.0	0.003
624.0	0.003
626.0	0.004
628.0	0.002
630.0	0.003
632.0	0.004
634.0	0.004
636.0	0.003
638.0	0.002
640.0	0.001
642.0	0.001
644.0	0.000
646.0	0.001
648.0	0.002
650.0	0.003
652.0	0.004
654.0	0.004
656.0	0.004
658.0	0.002
660.0	0.001
662.0	0.000
664.0	0.001
666.0	0.002
668.0	0.003
670.0	0.002
672.0	0.003
674.0	0.001
676.0	0.001
678.0	0.000
680.0	0.002
682.0	0.002
684.0	0.002
686.0	0.001
688.0	0.001
690.0	0.001
692.0	0.002
694.0	0.003
696.0	0.004
698.0	0.004
700.0	0.003
702.0	0.004
704.0	0.004
706.0	0.006
708.0	0.007
710.0	0.008
712.0	0.011
714.0	0.011
716.0	0.010
718.0	0.009
720.0	0.010
722.0	0.012
724.0	0.013
726.0	0.016
728.0	0.016
730.0	0.016
732.0	0.015
734.0	0.012
736.0	0.012
738.0	0.011
740.0	0.011
742.0	0.010
744.0	0.011
746.0	0.009
748.0	0.007
750.0	0.004
752.0	0.004
754.0	0.003
756.0	0.001
758.0	0.001
760.0	0.000
762.0	0.002
764.0	0.001
766.0	0.002
768.0	-0.000
770.0	-0.000
772.0	-0.001
774.0	0.000
776.0	0.000
778.0	0.000
780.0	0.001
782.0	0.001
784.0	0.001
786.0	0.000
788.0	0.001
790.0	0.002
792.0	0.001
794.0	0.001
796.0	0.001
798.0	0.002
800.0	0.001
