[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 12:28:07
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	400,00 to 800,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
400.0	0.001
402.0	0.000
404.0	-0.000
406.0	0.001
408.0	0.003
410.0	0.004
412.0	0.004
414.0	0.004
416.0	0.004
418.0	0.004
420.0	0.003
422.0	0.001
424.0	-0.001
426.0	-0.001
428.0	-0.001
430.0	0.000
432.0	0.002
434.0	0.003
436.0	0.002
438.0	0.000
440.0	-0.003
442.0	-0.000
444.0	-0.001
446.0	0.001
448.0	0.001
450.0	0.002
452.0	0.000
454.0	-0.001
456.0	-0.000
458.0	0.001
460.0	0.001
462.0	0.001
464.0	0.001
466.0	-0.001
468.0	-0.001
470.0	-0.001
472.0	-0.001
474.0	-0.000
476.0	-0.001
478.0	-0.001
480.0	-0.001
482.0	-0.000
484.0	0.002
486.0	0.002
488.0	0.003
490.0	0.002
492.0	0.005
494.0	0.007
496.0	0.011
498.0	0.016
500.0	0.024
502.0	0.030
504.0	0.036
506.0	0.042
508.0	0.053
510.0	0.065
512.0	0.080
514.0	0.099
516.0	0.122
518.0	0.153
520.0	0.199
522.0	0.264
524.0	0.365
526.0	0.530
528.0	0.819
530.0	1.391
532.0	2.481
534.0	4.466
536.0	7.611
538.0	11.982
540.0	17.179
542.0	22.428
544.0	26.690
546.0	29.092
548.0	29.228
550.0	27.237
552.0	23.712
554.0	19.318
556.0	14.657
558.0	10.227
560.0	6.484
562.0	3.777
564.0	2.089
566.0	1.160
568.0	0.671
570.0	0.410
572.0	0.264
574.0	0.179
576.0	0.122
578.0	0.087
580.0	0.063
582.0	0.048
584.0	0.035
586.0	0.029
588.0	0.022
590.0	0.018
592.0	0.014
594.0	0.011
596.0	0.008
598.0	0.006
600.0	0.005
602.0	0.004
604.0	0.004
606.0	0.004
608.0	0.002
610.0	0.002
612.0	0.001
614.0	0.003
616.0	0.003
618.0	0.003
620.0	0.003
622.0	0.003
624.0	0.002
626.0	0.002
628.0	0.001
630.0	0.001
632.0	-0.000
634.0	0.001
636.0	0.000
638.0	0.001
640.0	0.001
642.0	0.003
644.0	0.000
646.0	-0.000
648.0	-0.000
650.0	0.001
652.0	-0.000
654.0	-0.002
656.0	-0.001
658.0	-0.000
660.0	0.001
662.0	0.002
664.0	0.003
666.0	0.003
668.0	0.003
670.0	0.003
672.0	0.002
674.0	0.001
676.0	-0.001
678.0	-0.001
680.0	-0.000
682.0	-0.000
684.0	-0.001
686.0	-0.001
688.0	0.001
690.0	0.001
692.0	-0.000
694.0	-0.001
696.0	-0.001
698.0	0.001
700.0	0.002
702.0	0.002
704.0	0.001
706.0	0.001
708.0	-0.001
710.0	-0.000
712.0	-0.001
714.0	-0.001
716.0	-0.002
718.0	-0.002
720.0	-0.001
722.0	-0.001
724.0	0.000
726.0	0.000
728.0	-0.001
730.0	-0.002
732.0	-0.001
734.0	-0.001
736.0	-0.000
738.0	-0.001
740.0	-0.001
742.0	-0.001
744.0	-0.001
746.0	-0.001
748.0	-0.001
750.0	-0.001
752.0	0.000
754.0	0.000
756.0	0.000
758.0	-0.001
760.0	-0.001
762.0	-0.001
764.0	0.001
766.0	0.001
768.0	0.001
770.0	-0.000
772.0	-0.001
774.0	-0.001
776.0	0.000
778.0	0.000
780.0	0.000
782.0	-0.001
784.0	-0.001
786.0	-0.002
788.0	-0.000
790.0	-0.001
792.0	-0.000
794.0	-0.001
796.0	0.001
798.0	0.001
800.0	0.001
