[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 12:32:44
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	400,00 to 800,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
400.0	0.000
402.0	-0.000
404.0	-0.000
406.0	-0.000
408.0	0.003
410.0	0.002
412.0	0.003
414.0	-0.001
416.0	-0.000
418.0	-0.001
420.0	-0.000
422.0	0.001
424.0	0.001
426.0	-0.001
428.0	-0.001
430.0	-0.000
432.0	0.001
434.0	0.001
436.0	0.002
438.0	0.003
440.0	0.002
442.0	0.001
444.0	-0.000
446.0	0.001
448.0	0.000
450.0	0.001
452.0	-0.000
454.0	0.001
456.0	0.001
458.0	0.001
460.0	0.000
462.0	0.001
464.0	0.001
466.0	0.000
468.0	-0.001
470.0	-0.001
472.0	-0.001
474.0	-0.001
476.0	-0.001
478.0	-0.001
480.0	0.000
482.0	0.003
484.0	0.014
486.0	0.044
488.0	0.120
490.0	0.303
492.0	0.701
494.0	1.441
496.0	2.690
498.0	4.596
500.0	7.273
502.0	10.666
504.0	14.507
506.0	18.378
508.0	21.800
510.0	24.355
512.0	25.777
514.0	25.901
516.0	24.727
518.0	22.394
520.0	19.249
522.0	15.722
524.0	12.194
526.0	8.953
528.0	6.159
530.0	3.904
532.0	2.310
534.0	1.320
536.0	0.808
538.0	0.515
540.0	0.343
542.0	0.237
544.0	0.169
546.0	0.122
548.0	0.094
550.0	0.071
552.0	0.056
554.0	0.041
556.0	0.034
558.0	0.026
560.0	0.021
562.0	0.018
564.0	0.018
566.0	0.017
568.0	0.015
570.0	0.013
572.0	0.012
574.0	0.010
576.0	0.009
578.0	0.008
580.0	0.008
582.0	0.007
584.0	0.007
586.0	0.005
588.0	0.006
590.0	0.004
592.0	0.005
594.0	0.003
596.0	0.003
598.0	0.003
600.0	0.004
602.0	0.003
604.0	0.003
606.0	0.003
608.0	0.002
610.0	0.002
612.0	0.001
614.0	0.001
616.0	0.001
618.0	0.001
620.0	0.002
622.0	0.003
624.0	0.002
626.0	0.002
628.0	0.001
630.0	0.002
632.0	0.000
634.0	-0.001
636.0	-0.002
638.0	-0.002
640.0	-0.001
642.0	-0.001
644.0	0.002
646.0	0.003
648.0	0.002
650.0	0.001
652.0	0.002
654.0	0.002
656.0	0.003
658.0	0.002
660.0	0.002
662.0	0.001
664.0	0.001
666.0	0.000
668.0	-0.001
670.0	-0.002
672.0	-0.001
674.0	-0.000
676.0	0.001
678.0	0.002
680.0	0.001
682.0	0.000
684.0	-0.000
686.0	-0.001
688.0	-0.001
690.0	-0.000
692.0	0.001
694.0	0.001
696.0	0.000
698.0	0.000
700.0	0.002
702.0	0.001
704.0	0.002
706.0	0.001
708.0	0.002
710.0	0.002
712.0	0.002
714.0	0.001
716.0	0.001
718.0	-0.000
720.0	0.000
722.0	0.000
724.0	0.001
726.0	0.000
728.0	0.002
730.0	0.001
732.0	0.001
734.0	0.001
736.0	0.000
738.0	0.000
740.0	-0.000
742.0	0.001
744.0	0.002
746.0	0.003
748.0	0.002
750.0	0.003
752.0	0.004
754.0	0.004
756.0	0.004
758.0	0.003
760.0	0.003
762.0	0.002
764.0	0.004
766.0	0.005
768.0	0.005
770.0	0.003
772.0	0.003
774.0	0.002
776.0	0.003
778.0	0.001
780.0	0.001
782.0	0.000
784.0	-0.000
786.0	0.000
788.0	-0.000
790.0	-0.000
792.0	-0.001
794.0	0.000
796.0	-0.000
798.0	-0.000
800.0	-0.001
