[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 12:30:32
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	400,00 to 800,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
400.0	0.007
402.0	0.004
404.0	-0.000
406.0	-0.001
408.0	-0.002
410.0	-0.001
412.0	-0.003
414.0	-0.002
416.0	-0.001
418.0	0.001
420.0	-0.001
422.0	-0.002
424.0	-0.003
426.0	-0.001
428.0	0.002
430.0	0.003
432.0	0.000
434.0	-0.002
436.0	-0.003
438.0	-0.003
440.0	-0.002
442.0	-0.001
444.0	0.001
446.0	0.001
448.0	-0.000
450.0	-0.001
452.0	-0.001
454.0	0.001
456.0	0.001
458.0	0.001
460.0	0.001
462.0	0.002
464.0	0.001
466.0	0.000
468.0	-0.000
470.0	0.000
472.0	0.001
474.0	0.001
476.0	0.005
478.0	0.012
480.0	0.026
482.0	0.051
484.0	0.094
486.0	0.157
488.0	0.238
490.0	0.327
492.0	0.407
494.0	0.459
496.0	0.475
498.0	0.452
500.0	0.402
502.0	0.340
504.0	0.280
506.0	0.226
508.0	0.180
510.0	0.143
512.0	0.114
514.0	0.094
516.0	0.079
518.0	0.065
520.0	0.054
522.0	0.046
524.0	0.041
526.0	0.035
528.0	0.030
530.0	0.026
532.0	0.023
534.0	0.021
536.0	0.020
538.0	0.019
540.0	0.016
542.0	0.014
544.0	0.011
546.0	0.011
548.0	0.010
550.0	0.010
552.0	0.008
554.0	0.009
556.0	0.009
558.0	0.010
560.0	0.008
562.0	0.008
564.0	0.007
566.0	0.007
568.0	0.007
570.0	0.008
572.0	0.007
574.0	0.007
576.0	0.005
578.0	0.005
580.0	0.006
582.0	0.007
584.0	0.007
586.0	0.007
588.0	0.006
590.0	0.005
592.0	0.004
594.0	0.004
596.0	0.005
598.0	0.005
600.0	0.006
602.0	0.005
604.0	0.004
606.0	0.005
608.0	0.005
610.0	0.005
612.0	0.004
614.0	0.004
616.0	0.003
618.0	0.002
620.0	0.003
622.0	0.003
624.0	0.005
626.0	0.005
628.0	0.004
630.0	0.003
632.0	0.002
634.0	0.003
636.0	0.005
638.0	0.005
640.0	0.005
642.0	0.002
644.0	0.003
646.0	0.004
648.0	0.004
650.0	0.005
652.0	0.006
654.0	0.006
656.0	0.005
658.0	0.005
660.0	0.009
662.0	0.011
664.0	0.013
666.0	0.015
668.0	0.021
670.0	0.028
672.0	0.036
674.0	0.042
676.0	0.046
678.0	0.050
680.0	0.054
682.0	0.056
684.0	0.058
686.0	0.061
688.0	0.065
690.0	0.068
692.0	0.070
694.0	0.072
696.0	0.073
698.0	0.072
700.0	0.069
702.0	0.066
704.0	0.063
706.0	0.058
708.0	0.051
710.0	0.043
712.0	0.036
714.0	0.030
716.0	0.022
718.0	0.016
720.0	0.012
722.0	0.010
724.0	0.009
726.0	0.006
728.0	0.006
730.0	0.005
732.0	0.004
734.0	0.001
736.0	-0.001
738.0	-0.001
740.0	-0.001
742.0	-0.001
744.0	-0.001
746.0	0.000
748.0	-0.000
750.0	0.001
752.0	0.001
754.0	0.002
756.0	0.002
758.0	0.002
760.0	0.000
762.0	0.002
764.0	0.001
766.0	0.002
768.0	-0.000
770.0	-0.000
772.0	-0.000
774.0	0.001
776.0	0.001
778.0	0.001
780.0	-0.000
782.0	0.001
784.0	0.001
786.0	0.001
788.0	0.001
790.0	-0.000
792.0	-0.000
794.0	0.000
796.0	0.000
798.0	-0.000
800.0	-0.001
