[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 12:25:02
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	400,00 to 800,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
400.0	-0.003
402.0	0.001
404.0	0.002
406.0	0.006
408.0	0.007
410.0	0.011
412.0	0.012
414.0	0.015
416.0	0.015
418.0	0.016
420.0	0.013
422.0	0.012
424.0	0.008
426.0	0.007
428.0	0.004
430.0	0.006
432.0	0.005
434.0	0.005
436.0	0.005
438.0	0.003
440.0	0.001
442.0	-0.002
444.0	-0.004
446.0	-0.004
448.0	-0.004
450.0	-0.001
452.0	0.000
454.0	0.001
456.0	-0.000
458.0	-0.001
460.0	-0.000
462.0	0.000
464.0	0.001
466.0	0.001
468.0	0.000
470.0	-0.001
472.0	-0.002
474.0	-0.003
476.0	-0.002
478.0	-0.000
480.0	-0.000
482.0	0.000
484.0	-0.001
486.0	0.001
488.0	0.000
490.0	0.001
492.0	0.004
494.0	0.011
496.0	0.018
498.0	0.024
500.0	0.029
502.0	0.036
504.0	0.044
506.0	0.052
508.0	0.061
510.0	0.071
512.0	0.081
514.0	0.093
516.0	0.110
518.0	0.132
520.0	0.159
522.0	0.192
524.0	0.239
526.0	0.305
528.0	0.404
530.0	0.564
532.0	0.818
534.0	1.249
536.0	2.020
538.0	3.487
540.0	6.163
542.0	10.423
544.0	16.087
546.0	22.137
548.0	27.152
550.0	29.932
552.0	30.096
554.0	28.118
556.0	24.643
558.0	20.278
560.0	15.375
562.0	10.585
564.0	6.568
566.0	3.740
568.0	2.044
570.0	1.129
572.0	0.654
574.0	0.397
576.0	0.254
578.0	0.169
580.0	0.118
582.0	0.084
584.0	0.062
586.0	0.047
588.0	0.036
590.0	0.028
592.0	0.022
594.0	0.017
596.0	0.013
598.0	0.012
600.0	0.009
602.0	0.009
604.0	0.008
606.0	0.007
608.0	0.006
610.0	0.005
612.0	0.004
614.0	0.002
616.0	0.001
618.0	0.001
620.0	0.000
622.0	0.002
624.0	0.002
626.0	0.002
628.0	0.003
630.0	0.003
632.0	0.003
634.0	0.001
636.0	-0.000
638.0	-0.000
640.0	-0.001
642.0	-0.001
644.0	-0.002
646.0	-0.002
648.0	-0.000
650.0	0.002
652.0	0.001
654.0	0.002
656.0	0.002
658.0	0.003
660.0	0.002
662.0	0.001
664.0	0.001
666.0	0.001
668.0	-0.000
670.0	0.001
672.0	-0.001
674.0	-0.000
676.0	-0.001
678.0	-0.000
680.0	-0.000
682.0	0.000
684.0	-0.000
686.0	0.000
688.0	-0.000
690.0	-0.001
692.0	-0.001
694.0	-0.001
696.0	-0.001
698.0	-0.001
700.0	-0.001
702.0	0.000
704.0	0.001
706.0	0.002
708.0	-0.000
710.0	-0.001
712.0	0.000
714.0	0.002
716.0	0.001
718.0	0.000
720.0	0.000
722.0	0.000
724.0	0.001
726.0	0.000
728.0	0.001
730.0	0.000
732.0	0.000
734.0	0.001
736.0	0.001
738.0	0.001
740.0	0.000
742.0	-0.001
744.0	0.000
746.0	-0.001
748.0	-0.001
750.0	-0.000
752.0	0.000
754.0	0.001
756.0	-0.001
758.0	-0.001
760.0	-0.001
762.0	-0.002
764.0	-0.001
766.0	-0.001
768.0	-0.000
770.0	-0.000
772.0	-0.001
774.0	-0.000
776.0	-0.001
778.0	-0.000
780.0	-0.001
782.0	-0.000
784.0	-0.001
786.0	-0.002
788.0	-0.002
790.0	-0.001
792.0	0.001
794.0	0.001
796.0	0.000
798.0	0.000
800.0	0.001
