[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 13:07:26
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	230,00 to 2500,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
230.0	4.095
232.0	4.102
234.0	4.123
236.0	4.137
238.0	4.144
240.0	4.156
242.0	4.186
244.0	4.229
246.0	4.265
248.0	4.309
250.0	4.351
252.0	4.411
254.0	4.451
256.0	4.489
258.0	4.496
260.0	4.486
262.0	4.471
264.0	4.466
266.0	4.442
268.0	4.429
270.0	4.395
272.0	4.381
274.0	4.323
276.0	4.280
278.0	4.242
280.0	4.229
282.0	4.231
284.0	4.231
286.0	4.261
288.0	4.266
290.0	4.267
292.0	4.261
294.0	4.105
296.0	4.194
298.0	4.310
300.0	4.528
302.0	4.265
304.0	3.966
306.0	4.002
308.0	4.250
310.0	4.483
312.0	4.242
314.0	3.765
316.0	3.474
318.0	3.747
320.0	3.849
322.0	4.068
324.0	3.948
326.0	4.342
328.0	4.292
330.0	4.250
332.0	4.139
334.0	4.170
336.0	4.157
338.0	4.059
340.0	4.021
342.0	3.987
344.0	4.033
346.0	4.035
348.0	4.059
350.0	4.082
352.0	4.093
354.0	4.098
356.0	4.098
358.0	4.109
360.0	4.128
362.0	4.188
364.0	4.281
366.0	4.395
368.0	4.555
370.0	4.746
372.0	5.008
374.0	5.306
376.0	5.639
378.0	5.967
380.0	6.296
382.0	6.590
384.0	6.856
386.0	7.047
388.0	7.213
390.0	7.314
392.0	7.413
394.0	7.483
396.0	7.549
398.0	7.595
400.0	7.631
402.0	7.659
404.0	7.677
406.0	7.686
408.0	7.687
410.0	7.692
412.0	7.695
414.0	7.706
416.0	7.708
418.0	7.719
420.0	7.719
422.0	7.710
424.0	7.692
426.0	7.684
428.0	7.682
430.0	7.681
432.0	7.659
434.0	7.647
436.0	7.631
438.0	7.629
440.0	7.618
442.0	7.610
444.0	7.609
446.0	7.602
448.0	7.587
450.0	7.573
452.0	7.562
454.0	7.552
456.0	7.536
458.0	7.526
460.0	7.512
462.0	7.501
464.0	7.485
466.0	7.475
468.0	7.470
470.0	7.467
472.0	7.456
474.0	7.455
476.0	7.454
478.0	7.465
480.0	7.454
482.0	7.450
484.0	7.451
486.0	7.453
488.0	7.450
490.0	7.439
492.0	7.433
494.0	7.422
496.0	7.417
498.0	7.416
500.0	7.412
502.0	7.408
504.0	7.410
506.0	7.415
508.0	7.419
510.0	7.407
512.0	7.404
514.0	7.394
516.0	7.392
518.0	7.383
520.0	7.380
522.0	7.374
524.0	7.374
526.0	7.374
528.0	7.376
530.0	7.362
532.0	7.348
534.0	7.336
536.0	7.338
538.0	7.339
540.0	7.344
542.0	7.340
544.0	7.332
546.0	7.325
548.0	7.318
550.0	7.311
552.0	7.306
554.0	7.299
556.0	7.299
558.0	7.295
560.0	7.286
562.0	7.277
564.0	7.272
566.0	7.276
568.0	7.270
570.0	7.260
572.0	7.250
574.0	7.245
576.0	7.236
578.0	7.234
580.0	7.236
582.0	7.239
584.0	7.232
586.0	7.227
588.0	7.223
590.0	7.229
592.0	7.233
594.0	7.233
596.0	7.224
598.0	7.219
600.0	7.218
602.0	7.228
604.0	7.218
606.0	7.216
608.0	7.202
610.0	7.215
612.0	7.210
614.0	7.212
616.0	7.201
618.0	7.195
620.0	7.183
622.0	7.182
624.0	7.187
626.0	7.198
628.0	7.189
630.0	7.180
632.0	7.178
634.0	7.176
636.0	7.177
638.0	7.172
640.0	7.169
642.0	7.169
644.0	7.174
646.0	7.173
648.0	7.169
650.0	7.162
652.0	7.167
654.0	7.160
656.0	7.154
658.0	7.131
660.0	7.121
662.0	7.113
664.0	7.114
666.0	7.117
668.0	7.119
670.0	7.136
672.0	7.143
674.0	7.149
676.0	7.140
678.0	7.141
680.0	7.141
682.0	7.158
684.0	7.163
686.0	7.169
688.0	7.151
690.0	7.138
692.0	7.125
694.0	7.141
696.0	7.157
698.0	7.166
700.0	7.159
702.0	7.156
704.0	7.152
706.0	7.140
708.0	7.146
710.0	7.139
712.0	7.152
714.0	7.144
716.0	7.156
718.0	7.143
720.0	7.130
722.0	7.113
724.0	7.123
726.0	7.116
728.0	7.114
730.0	7.109
732.0	7.118
734.0	7.130
736.0	7.118
738.0	7.126
740.0	7.123
742.0	7.129
744.0	7.127
746.0	7.114
748.0	7.118
750.0	7.121
752.0	7.110
754.0	7.123
756.0	7.120
758.0	7.158
760.0	7.147
762.0	7.152
764.0	7.137
766.0	7.139
768.0	7.132
770.0	7.121
772.0	7.120
774.0	7.106
776.0	7.110
778.0	7.107
780.0	7.109
782.0	7.116
784.0	7.100
786.0	7.093
788.0	7.088
790.0	7.093
792.0	7.107
794.0	7.111
796.0	7.122
798.0	7.134
800.0	7.137
802.0	7.100
804.0	7.054
806.0	7.035
808.0	7.048
810.0	7.067
812.0	7.070
814.0	7.089
816.0	7.102
818.0	7.104
820.0	7.108
822.0	7.093
824.0	7.124
826.0	7.101
828.0	7.106
830.0	7.115
832.0	7.156
834.0	7.180
836.0	7.168
838.0	7.171
840.0	7.187
842.0	7.192
844.0	7.190
846.0	7.149
848.0	7.121
850.0	7.081
852.0	7.107
854.0	7.118
856.0	7.108
858.0	7.072
860.0	7.041
862.0	7.073
864.0	7.121
866.0	7.134
868.0	7.133
870.0	7.097
872.0	7.114
874.0	7.118
876.0	7.074
878.0	6.996
880.0	6.987
882.0	7.060
884.0	7.008
886.0	7.089
888.0	6.961
890.0	7.101
892.0	7.081
894.0	7.160
896.0	7.148
898.0	6.985
900.0	7.101
902.0	7.185
904.0	7.361
906.0	7.365
908.0	7.408
910.0	7.458
912.0	7.463
914.0	7.423
916.0	7.422
918.0	7.395
920.0	7.417
922.0	7.421
924.0	7.458
926.0	7.462
928.0	7.459
930.0	7.445
932.0	7.464
934.0	7.431
936.0	7.440
938.0	7.403
940.0	7.413
942.0	7.421
944.0	7.451
946.0	7.438
948.0	7.429
950.0	7.419
952.0	7.438
954.0	7.449
956.0	7.437
958.0	7.464
960.0	7.473
962.0	7.494
964.0	7.466
966.0	7.466
968.0	7.443
970.0	7.448
972.0	7.439
974.0	7.439
976.0	7.436
978.0	7.418
980.0	7.418
982.0	7.424
984.0	7.441
986.0	7.450
988.0	7.435
990.0	7.426
992.0	7.420
994.0	7.419
996.0	7.411
998.0	7.405
1000.0	7.398
1002.0	7.394
1004.0	7.376
1006.0	7.373
1008.0	7.371
1010.0	7.367
1012.0	7.368
1014.0	7.373
1016.0	7.378
1018.0	7.370
1020.0	7.371
1022.0	7.370
1024.0	7.376
1026.0	7.378
1028.0	7.391
1030.0	7.387
1032.0	7.385
1034.0	7.375
1036.0	7.382
1038.0	7.380
1040.0	7.388
1042.0	7.386
1044.0	7.387
1046.0	7.382
1048.0	7.384
1050.0	7.379
1052.0	7.380
1054.0	7.373
1056.0	7.379
1058.0	7.379
1060.0	7.380
1062.0	7.380
1064.0	7.391
1066.0	7.406
1068.0	7.406
1070.0	7.401
1072.0	7.389
1074.0	7.394
1076.0	7.394
1078.0	7.391
1080.0	7.381
1082.0	7.376
1084.0	7.375
1086.0	7.376
1088.0	7.375
1090.0	7.381
1092.0	7.386
1094.0	7.376
1096.0	7.368
1098.0	7.356
1100.0	7.355
1102.0	7.342
1104.0	7.333
1106.0	7.316
1108.0	7.305
1110.0	7.284
1112.0	7.275
1114.0	7.264
1116.0	7.245
1118.0	7.211
1120.0	7.174
1122.0	7.144
1124.0	7.112
1126.0	7.077
1128.0	7.044
1130.0	7.024
1132.0	6.996
1134.0	6.958
1136.0	6.925
1138.0	6.890
1140.0	6.866
1142.0	6.836
1144.0	6.806
1146.0	6.784
1148.0	6.754
1150.0	6.727
1152.0	6.683
1154.0	6.637
1156.0	6.586
1158.0	6.547
1160.0	6.512
1162.0	6.479
1164.0	6.444
1166.0	6.407
