[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 11:33:09
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	230,00 to 2500,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
230.0	0.014
232.0	0.017
234.0	0.019
236.0	0.017
238.0	0.014
240.0	0.011
242.0	0.012
244.0	0.015
246.0	0.037
248.0	0.108
250.0	0.276
252.0	0.583
254.0	1.018
256.0	1.503
258.0	1.938
260.0	2.250
262.0	2.440
264.0	2.515
266.0	2.526
268.0	2.497
270.0	2.461
272.0	2.400
274.0	2.300
276.0	2.135
278.0	1.926
280.0	1.700
282.0	1.494
284.0	1.315
286.0	1.149
288.0	1.003
290.0	0.871
292.0	0.766
294.0	0.695
296.0	0.604
298.0	0.614
300.0	0.522
302.0	0.706
304.0	0.706
306.0	0.911
308.0	0.872
310.0	0.985
312.0	1.241
314.0	1.492
316.0	1.800
318.0	1.931
320.0	2.011
322.0	2.061
324.0	2.079
326.0	2.180
328.0	2.284
330.0	2.435
332.0	2.630
334.0	2.797
336.0	2.997
338.0	3.227
340.0	3.520
342.0	3.880
344.0	4.445
346.0	5.170
348.0	6.051
350.0	7.059
352.0	8.310
354.0	9.826
356.0	11.647
358.0	13.819
360.0	16.710
362.0	20.180
364.0	24.438
366.0	29.138
368.0	34.680
370.0	40.766
372.0	47.406
374.0	54.142
376.0	60.809
378.0	67.082
380.0	72.772
382.0	77.536
384.0	81.349
386.0	84.281
388.0	86.504
390.0	88.196
392.0	89.357
394.0	90.152
396.0	90.694
398.0	91.099
400.0	91.389
402.0	91.541
404.0	91.654
406.0	91.744
408.0	91.831
410.0	91.837
412.0	91.844
414.0	91.804
416.0	91.848
418.0	91.905
420.0	91.985
422.0	91.941
424.0	91.908
426.0	91.901
428.0	91.943
430.0	91.981
432.0	92.011
434.0	92.034
436.0	92.040
438.0	92.016
440.0	91.992
442.0	91.997
444.0	91.994
446.0	92.015
448.0	92.045
450.0	92.061
452.0	92.053
454.0	92.038
456.0	92.051
458.0	92.103
460.0	92.114
462.0	92.118
464.0	92.112
466.0	92.127
468.0	92.103
470.0	92.112
472.0	92.124
474.0	92.146
476.0	92.117
478.0	92.145
480.0	92.155
482.0	92.181
484.0	92.135
486.0	92.127
488.0	92.130
490.0	92.133
492.0	92.176
494.0	92.155
496.0	92.164
498.0	92.121
500.0	92.171
502.0	92.169
504.0	92.198
506.0	92.194
508.0	92.244
510.0	92.238
512.0	92.194
514.0	92.162
516.0	92.131
518.0	92.190
520.0	92.194
522.0	92.233
524.0	92.208
526.0	92.208
528.0	92.229
530.0	92.255
532.0	92.275
534.0	92.268
536.0	92.261
538.0	92.263
540.0	92.282
542.0	92.265
544.0	92.281
546.0	92.249
548.0	92.260
550.0	92.256
552.0	92.261
554.0	92.285
556.0	92.312
558.0	92.345
560.0	92.338
562.0	92.279
564.0	92.291
566.0	92.273
568.0	92.318
570.0	92.286
572.0	92.312
574.0	92.252
576.0	92.262
578.0	92.277
580.0	92.338
582.0	92.343
584.0	92.344
586.0	92.360
588.0	92.373
590.0	92.354
592.0	92.336
594.0	92.330
596.0	92.310
598.0	92.330
600.0	92.364
602.0	92.412
604.0	92.405
606.0	92.405
608.0	92.387
610.0	92.380
612.0	92.320
614.0	92.302
616.0	92.267
618.0	92.260
620.0	92.297
622.0	92.339
624.0	92.370
626.0	92.363
628.0	92.374
630.0	92.348
632.0	92.349
634.0	92.348
636.0	92.371
638.0	92.374
640.0	92.383
642.0	92.429
644.0	92.430
646.0	92.431
648.0	92.390
650.0	92.402
652.0	92.372
654.0	92.384
656.0	92.409
658.0	92.441
660.0	92.473
662.0	92.430
664.0	92.406
666.0	92.395
668.0	92.403
670.0	92.421
672.0	92.426
674.0	92.450
676.0	92.444
678.0	92.473
680.0	92.459
682.0	92.490
684.0	92.448
686.0	92.461
688.0	92.374
690.0	92.374
692.0	92.366
694.0	92.412
696.0	92.394
698.0	92.387
700.0	92.423
702.0	92.449
704.0	92.453
706.0	92.445
708.0	92.475
710.0	92.509
712.0	92.513
714.0	92.501
716.0	92.441
718.0	92.427
720.0	92.319
722.0	92.310
724.0	92.308
726.0	92.310
728.0	92.364
730.0	92.280
732.0	92.371
734.0	92.287
736.0	92.368
738.0	92.416
740.0	92.563
742.0	92.556
744.0	92.417
746.0	92.308
748.0	92.291
750.0	92.435
752.0	92.442
754.0	92.470
756.0	92.492
758.0	92.547
760.0	92.514
762.0	92.405
764.0	92.331
766.0	92.333
768.0	92.430
770.0	92.511
772.0	92.566
774.0	92.452
776.0	92.415
778.0	92.425
780.0	92.599
782.0	92.648
784.0	92.635
786.0	92.563
788.0	92.493
790.0	92.395
792.0	92.361
794.0	92.385
796.0	92.400
798.0	92.343
800.0	92.375
802.0	92.363
804.0	92.436
806.0	92.397
808.0	92.435
810.0	92.432
812.0	92.387
814.0	92.423
816.0	92.273
818.0	92.153
820.0	92.215
822.0	92.496
824.0	92.753
826.0	92.735
828.0	92.483
830.0	92.427
832.0	92.377
834.0	92.470
836.0	92.401
838.0	92.472
840.0	92.430
842.0	92.464
844.0	92.380
846.0	92.464
848.0	92.469
850.0	92.555
852.0	92.607
854.0	92.643
856.0	92.594
858.0	92.506
860.0	92.410
862.0	92.415
864.0	92.198
866.0	92.269
868.0	92.216
870.0	92.564
872.0	92.387
874.0	92.356
876.0	91.949
878.0	92.054
880.0	91.519
882.0	91.432
884.0	91.010
886.0	91.463
888.0	91.819
890.0	91.744
892.0	91.733
894.0	91.192
896.0	91.085
898.0	91.216
900.0	91.421
902.0	91.819
904.0	91.647
906.0	91.749
908.0	91.800
910.0	91.833
912.0	91.912
914.0	92.059
916.0	92.149
918.0	92.288
920.0	92.325
922.0	92.352
924.0	92.372
926.0	92.386
928.0	92.471
930.0	92.472
932.0	92.475
934.0	92.479
936.0	92.508
938.0	92.574
940.0	92.594
942.0	92.653
944.0	92.716
946.0	92.723
948.0	92.712
950.0	92.662
952.0	92.620
954.0	92.586
956.0	92.560
958.0	92.579
960.0	92.596
962.0	92.612
964.0	92.590
966.0	92.545
968.0	92.497
970.0	92.471
972.0	92.426
974.0	92.406
976.0	92.378
978.0	92.350
980.0	92.309
982.0	92.255
984.0	92.224
986.0	92.176
988.0	92.139
990.0	92.103
992.0	92.087
994.0	92.059
996.0	92.002
998.0	91.938
1000.0	91.896
1002.0	91.874
1004.0	91.856
1006.0	91.888
1008.0	91.927
1010.0	91.979
1012.0	91.998
1014.0	92.019
1016.0	92.058
1018.0	92.081
1020.0	92.108
1022.0	92.103
1024.0	92.112
1026.0	92.136
1028.0	92.175
1030.0	92.213
1032.0	92.223
1034.0	92.232
1036.0	92.241
1038.0	92.278
1040.0	92.306
1042.0	92.364
1044.0	92.426
1046.0	92.491
1048.0	92.534
1050.0	92.541
1052.0	92.562
1054.0	92.588
1056.0	92.617
1058.0	92.650
1060.0	92.664
1062.0	92.695
1064.0	92.727
1066.0	92.763
1068.0	92.804
1070.0	92.807
1072.0	92.825
1074.0	92.820
1076.0	92.852
1078.0	92.856
1080.0	92.868
1082.0	92.860
1084.0	92.852
1086.0	92.834
1088.0	92.809
1090.0	92.797
1092.0	92.773
1094.0	92.754
1096.0	92.719
1098.0	92.647
1100.0	92.540
1102.0	92.407
1104.0	92.278
1106.0	92.137
1108.0	91.966
1110.0	91.778
1112.0	91.565
1114.0	91.314
1116.0	91.018
1118.0	90.687
1120.0	90.300
1122.0	89.865
1124.0	89.409
1126.0	88.931
1128.0	88.469
1130.0	87.983
1132.0	87.539
1134.0	87.090
1136.0	86.673
1138.0	86.267
1140.0	85.884
1142.0	85.466
1144.0	85.045
1146.0	84.598
1148.0	84.147
1150.0	83.626
1152.0	83.044
1154.0	82.392
1156.0	81.706
1158.0	81.025
1160.0	80.391
1162.0	79.813
1164.0	79.295
1166.0	78.831
