[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 13:14:37
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	230,00 to 2500,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
230.0	10.044
232.0	10.027
234.0	9.983
236.0	9.848
238.0	9.643
240.0	9.359
242.0	9.161
244.0	8.967
246.0	8.812
248.0	8.617
250.0	8.459
252.0	8.355
254.0	8.278
256.0	8.183
258.0	8.075
260.0	7.965
262.0	7.890
264.0	7.819
266.0	7.778
268.0	7.730
270.0	7.681
272.0	7.634
274.0	7.604
276.0	7.639
278.0	7.750
280.0	8.002
282.0	8.342
284.0	8.709
286.0	9.044
288.0	9.321
290.0	9.534
292.0	9.689
294.0	10.211
296.0	10.173
298.0	10.682
300.0	10.614
302.0	10.724
304.0	10.536
306.0	10.324
308.0	10.489
310.0	10.482
312.0	10.788
314.0	10.915
316.0	11.112
318.0	11.034
320.0	10.694
322.0	10.416
324.0	10.298
326.0	10.624
328.0	10.619
330.0	10.587
332.0	10.550
334.0	10.618
336.0	10.581
338.0	10.552
340.0	10.438
342.0	10.509
344.0	10.510
346.0	10.583
348.0	10.574
350.0	10.580
352.0	10.526
354.0	10.517
356.0	10.506
358.0	10.551
360.0	10.516
362.0	10.504
364.0	10.520
366.0	10.532
368.0	10.525
370.0	10.479
372.0	10.498
374.0	10.522
376.0	10.535
378.0	10.516
380.0	10.500
382.0	10.499
384.0	10.491
386.0	10.479
388.0	10.475
390.0	10.478
392.0	10.484
394.0	10.499
396.0	10.508
398.0	10.537
400.0	10.534
402.0	10.544
404.0	10.539
406.0	10.557
408.0	10.559
410.0	10.566
412.0	10.557
414.0	10.558
416.0	10.560
418.0	10.547
420.0	10.527
422.0	10.500
424.0	10.493
426.0	10.482
428.0	10.466
430.0	10.450
432.0	10.426
434.0	10.415
436.0	10.388
438.0	10.377
440.0	10.352
442.0	10.330
444.0	10.313
446.0	10.292
448.0	10.274
450.0	10.255
452.0	10.239
454.0	10.221
456.0	10.201
458.0	10.179
460.0	10.158
462.0	10.138
464.0	10.120
466.0	10.097
468.0	10.088
470.0	10.076
472.0	10.070
474.0	10.059
476.0	10.054
478.0	10.057
480.0	10.049
482.0	10.041
484.0	10.027
486.0	10.010
488.0	9.991
490.0	9.983
492.0	9.980
494.0	9.973
496.0	9.963
498.0	9.946
500.0	9.943
502.0	9.930
504.0	9.925
506.0	9.910
508.0	9.903
510.0	9.895
512.0	9.889
514.0	9.882
516.0	9.876
518.0	9.867
520.0	9.857
522.0	9.847
524.0	9.837
526.0	9.827
528.0	9.811
530.0	9.794
532.0	9.780
534.0	9.775
536.0	9.774
538.0	9.764
540.0	9.756
542.0	9.754
544.0	9.747
546.0	9.733
548.0	9.725
550.0	9.718
552.0	9.712
554.0	9.685
556.0	9.683
558.0	9.671
560.0	9.673
562.0	9.660
564.0	9.652
566.0	9.642
568.0	9.632
570.0	9.620
572.0	9.603
574.0	9.592
576.0	9.581
578.0	9.581
580.0	9.569
582.0	9.562
584.0	9.549
586.0	9.548
588.0	9.552
590.0	9.545
592.0	9.544
594.0	9.533
596.0	9.541
598.0	9.534
600.0	9.527
602.0	9.520
604.0	9.513
606.0	9.518
608.0	9.512
610.0	9.515
612.0	9.507
614.0	9.507
616.0	9.500
618.0	9.486
620.0	9.477
622.0	9.469
624.0	9.469
626.0	9.462
628.0	9.459
630.0	9.462
632.0	9.457
634.0	9.446
636.0	9.431
638.0	9.429
640.0	9.437
642.0	9.439
644.0	9.436
646.0	9.427
648.0	9.424
650.0	9.416
652.0	9.405
654.0	9.397
656.0	9.383
658.0	9.371
660.0	9.359
662.0	9.354
664.0	9.346
666.0	9.346
668.0	9.356
670.0	9.379
672.0	9.388
674.0	9.394
676.0	9.397
678.0	9.406
680.0	9.406
682.0	9.399
684.0	9.387
686.0	9.380
688.0	9.377
690.0	9.374
692.0	9.384
694.0	9.392
696.0	9.388
698.0	9.386
700.0	9.387
702.0	9.387
704.0	9.381
706.0	9.363
708.0	9.360
710.0	9.361
712.0	9.379
714.0	9.373
716.0	9.364
718.0	9.354
720.0	9.357
722.0	9.341
724.0	9.328
726.0	9.320
728.0	9.337
730.0	9.346
732.0	9.346
734.0	9.334
736.0	9.319
738.0	9.320
740.0	9.324
742.0	9.345
744.0	9.356
746.0	9.356
748.0	9.345
750.0	9.331
752.0	9.317
754.0	9.326
756.0	9.331
758.0	9.351
760.0	9.334
762.0	9.329
764.0	9.323
766.0	9.318
768.0	9.324
770.0	9.289
772.0	9.283
774.0	9.276
776.0	9.310
778.0	9.306
780.0	9.296
782.0	9.281
784.0	9.276
786.0	9.265
788.0	9.252
790.0	9.262
792.0	9.261
794.0	9.254
796.0	9.253
798.0	9.259
800.0	9.286
802.0	9.281
804.0	9.281
806.0	9.262
808.0	9.259
810.0	9.249
812.0	9.239
814.0	9.238
816.0	9.252
818.0	9.262
820.0	9.274
822.0	9.261
824.0	9.269
826.0	9.283
828.0	9.306
830.0	9.337
832.0	9.345
834.0	9.366
836.0	9.364
838.0	9.366
840.0	9.366
842.0	9.354
844.0	9.357
846.0	9.357
848.0	9.364
850.0	9.336
852.0	9.313
854.0	9.308
856.0	9.315
858.0	9.328
860.0	9.324
862.0	9.327
864.0	9.295
866.0	9.281
868.0	9.226
870.0	9.184
872.0	9.145
874.0	9.095
876.0	9.155
878.0	9.144
880.0	9.260
882.0	9.219
884.0	9.260
886.0	9.298
888.0	9.259
890.0	9.275
892.0	9.305
894.0	9.441
896.0	9.524
898.0	9.323
900.0	9.429
902.0	9.455
904.0	9.723
906.0	9.654
908.0	9.665
910.0	9.640
912.0	9.704
914.0	9.735
916.0	9.736
918.0	9.706
920.0	9.702
922.0	9.713
924.0	9.699
926.0	9.684
928.0	9.675
930.0	9.675
932.0	9.635
934.0	9.624
936.0	9.622
938.0	9.669
940.0	9.696
942.0	9.714
944.0	9.712
946.0	9.689
948.0	9.685
950.0	9.674
952.0	9.663
954.0	9.665
956.0	9.680
958.0	9.693
960.0	9.718
962.0	9.737
964.0	9.749
966.0	9.740
968.0	9.713
970.0	9.707
972.0	9.716
974.0	9.710
976.0	9.708
978.0	9.700
980.0	9.704
982.0	9.704
984.0	9.715
986.0	9.725
988.0	9.733
990.0	9.687
992.0	9.681
994.0	9.670
996.0	9.689
998.0	9.679
1000.0	9.671
1002.0	9.663
1004.0	9.663
1006.0	9.655
1008.0	9.674
1010.0	9.671
1012.0	9.677
1014.0	9.656
1016.0	9.651
1018.0	9.643
1020.0	9.641
1022.0	9.635
1024.0	9.629
1026.0	9.631
1028.0	9.646
1030.0	9.664
1032.0	9.654
1034.0	9.641
1036.0	9.633
1038.0	9.642
1040.0	9.635
1042.0	9.628
1044.0	9.619
1046.0	9.624
1048.0	9.622
1050.0	9.629
1052.0	9.629
1054.0	9.618
1056.0	9.613
1058.0	9.607
1060.0	9.619
1062.0	9.623
1064.0	9.627
1066.0	9.628
1068.0	9.623
1070.0	9.607
1072.0	9.615
1074.0	9.621
1076.0	9.633
1078.0	9.627
1080.0	9.612
1082.0	9.616
1084.0	9.609
1086.0	9.599
1088.0	9.585
1090.0	9.570
1092.0	9.573
1094.0	9.573
1096.0	9.569
1098.0	9.579
1100.0	9.580
1102.0	9.578
1104.0	9.568
1106.0	9.556
1108.0	9.549
1110.0	9.531
1112.0	9.524
1114.0	9.525
1116.0	9.523
1118.0	9.505
1120.0	9.486
1122.0	9.454
1124.0	9.440
1126.0	9.425
1128.0	9.423
1130.0	9.417
1132.0	9.416
1134.0	9.423
1136.0	9.430
1138.0	9.428
1140.0	9.425
1142.0	9.431
1144.0	9.450
1146.0	9.473
1148.0	9.481
1150.0	9.490
1152.0	9.512
1154.0	9.532
1156.0	9.544
1158.0	9.539
1160.0	9.535
1162.0	9.523
1164.0	9.528
1166.0	9.530
