[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 11:25:26
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	230,00 to 2500,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
230.0	0.884
232.0	0.853
234.0	0.801
236.0	0.760
238.0	0.725
240.0	0.709
242.0	0.703
244.0	0.692
246.0	0.675
248.0	0.651
250.0	0.634
252.0	0.616
254.0	0.598
256.0	0.576
258.0	0.558
260.0	0.545
262.0	0.538
264.0	0.531
266.0	0.525
268.0	0.523
270.0	0.527
272.0	0.539
274.0	0.578
276.0	0.679
278.0	0.955
280.0	1.554
282.0	2.791
284.0	4.966
286.0	8.383
288.0	13.185
290.0	19.411
292.0	27.027
294.0	35.367
296.0	44.380
298.0	52.310
300.0	59.337
302.0	65.989
304.0	69.398
306.0	71.945
308.0	70.900
310.0	71.247
312.0	72.572
314.0	73.820
316.0	76.202
318.0	76.573
320.0	77.101
322.0	77.472
324.0	78.131
326.0	78.932
328.0	78.981
330.0	79.622
332.0	81.156
334.0	82.487
336.0	82.910
338.0	82.926
340.0	83.215
342.0	83.718
344.0	84.536
346.0	85.274
348.0	85.633
350.0	85.744
352.0	85.708
354.0	85.992
356.0	86.400
358.0	86.771
360.0	87.030
362.0	87.200
364.0	87.318
366.0	87.508
368.0	87.729
370.0	87.868
372.0	88.007
374.0	88.096
376.0	88.242
378.0	88.401
380.0	88.559
382.0	88.651
384.0	88.604
386.0	88.591
388.0	88.656
390.0	88.854
392.0	88.966
394.0	88.967
396.0	88.950
398.0	88.965
400.0	89.078
402.0	89.164
404.0	89.235
406.0	89.266
408.0	89.254
410.0	89.249
412.0	89.247
414.0	89.232
416.0	89.270
418.0	89.352
420.0	89.457
422.0	89.439
424.0	89.445
426.0	89.439
428.0	89.482
430.0	89.522
432.0	89.538
434.0	89.610
436.0	89.621
438.0	89.681
440.0	89.664
442.0	89.682
444.0	89.655
446.0	89.681
448.0	89.698
450.0	89.711
452.0	89.716
454.0	89.739
456.0	89.768
458.0	89.780
460.0	89.800
462.0	89.791
464.0	89.817
466.0	89.835
468.0	89.844
470.0	89.831
472.0	89.818
474.0	89.848
476.0	89.860
478.0	89.890
480.0	89.888
482.0	89.923
484.0	89.924
486.0	89.961
488.0	89.942
490.0	89.949
492.0	89.958
494.0	89.960
496.0	89.976
498.0	89.957
500.0	89.987
502.0	89.960
504.0	89.950
506.0	89.965
508.0	90.030
510.0	90.058
512.0	90.040
514.0	90.006
516.0	90.017
518.0	90.028
520.0	90.077
522.0	90.069
524.0	90.067
526.0	90.043
528.0	90.063
530.0	90.076
532.0	90.053
534.0	90.049
536.0	90.070
538.0	90.118
540.0	90.146
542.0	90.127
544.0	90.136
546.0	90.132
548.0	90.119
550.0	90.127
552.0	90.111
554.0	90.155
556.0	90.147
558.0	90.198
560.0	90.236
562.0	90.191
564.0	90.173
566.0	90.138
568.0	90.179
570.0	90.181
572.0	90.174
574.0	90.146
576.0	90.119
578.0	90.131
580.0	90.165
582.0	90.196
584.0	90.202
586.0	90.206
588.0	90.194
590.0	90.200
592.0	90.171
594.0	90.210
596.0	90.229
598.0	90.287
600.0	90.271
602.0	90.268
604.0	90.236
606.0	90.262
608.0	90.263
610.0	90.327
612.0	90.320
614.0	90.323
616.0	90.285
618.0	90.283
620.0	90.313
622.0	90.327
624.0	90.319
626.0	90.319
628.0	90.328
630.0	90.364
632.0	90.366
634.0	90.385
636.0	90.385
638.0	90.369
640.0	90.337
642.0	90.376
644.0	90.388
646.0	90.394
648.0	90.319
650.0	90.333
652.0	90.377
654.0	90.414
656.0	90.427
658.0	90.440
660.0	90.479
662.0	90.449
664.0	90.422
666.0	90.403
668.0	90.416
670.0	90.412
672.0	90.398
674.0	90.422
676.0	90.447
678.0	90.470
680.0	90.477
682.0	90.438
684.0	90.455
686.0	90.462
688.0	90.453
690.0	90.440
692.0	90.428
694.0	90.475
696.0	90.404
698.0	90.396
700.0	90.430
702.0	90.559
704.0	90.585
706.0	90.557
708.0	90.550
710.0	90.604
712.0	90.660
714.0	90.642
716.0	90.558
718.0	90.490
720.0	90.410
722.0	90.422
724.0	90.489
726.0	90.559
728.0	90.670
730.0	90.599
732.0	90.625
734.0	90.544
736.0	90.628
738.0	90.637
740.0	90.715
742.0	90.710
744.0	90.654
746.0	90.560
748.0	90.486
750.0	90.508
752.0	90.505
754.0	90.519
756.0	90.559
758.0	90.638
760.0	90.666
762.0	90.561
764.0	90.517
766.0	90.521
768.0	90.637
770.0	90.615
772.0	90.616
774.0	90.561
776.0	90.596
778.0	90.568
780.0	90.675
782.0	90.675
784.0	90.625
786.0	90.568
788.0	90.537
790.0	90.621
792.0	90.651
794.0	90.726
796.0	90.710
798.0	90.732
800.0	90.685
802.0	90.781
804.0	90.706
806.0	90.727
808.0	90.637
810.0	90.589
812.0	90.539
814.0	90.454
816.0	90.448
818.0	90.338
820.0	90.477
822.0	90.724
824.0	90.991
826.0	90.894
828.0	90.490
830.0	90.372
832.0	90.452
834.0	90.662
836.0	90.669
838.0	90.695
840.0	90.619
842.0	90.663
844.0	90.612
846.0	90.771
848.0	90.738
850.0	90.764
852.0	90.687
854.0	90.797
856.0	90.755
858.0	90.624
860.0	90.517
862.0	90.506
864.0	90.258
866.0	90.364
868.0	90.360
870.0	90.709
872.0	91.014
874.0	90.904
876.0	90.812
878.0	90.618
880.0	90.200
882.0	89.999
884.0	89.461
886.0	90.253
888.0	90.832
890.0	90.854
892.0	90.991
894.0	91.179
896.0	91.420
898.0	91.183
900.0	90.702
902.0	90.742
904.0	90.633
906.0	90.691
908.0	90.701
910.0	90.708
912.0	90.683
914.0	90.694
916.0	90.712
918.0	90.852
920.0	90.847
922.0	90.805
924.0	90.733
926.0	90.743
928.0	90.820
930.0	90.824
932.0	90.843
934.0	90.823
936.0	90.866
938.0	90.889
940.0	90.882
942.0	90.862
944.0	90.922
946.0	90.935
948.0	90.964
950.0	90.898
952.0	90.895
954.0	90.885
956.0	90.894
958.0	90.925
960.0	90.947
962.0	90.985
964.0	91.009
966.0	91.005
968.0	91.014
970.0	91.008
972.0	91.016
974.0	91.008
976.0	91.005
978.0	90.997
980.0	91.003
982.0	91.031
984.0	91.043
986.0	91.048
988.0	91.038
990.0	91.046
992.0	91.065
994.0	91.072
996.0	91.056
998.0	91.037
1000.0	91.039
1002.0	91.071
1004.0	91.070
1006.0	91.073
1008.0	91.075
1010.0	91.110
1012.0	91.116
1014.0	91.125
1016.0	91.126
1018.0	91.120
1020.0	91.139
1022.0	91.116
1024.0	91.134
1026.0	91.135
1028.0	91.181
1030.0	91.214
1032.0	91.212
1034.0	91.200
1036.0	91.196
1038.0	91.210
1040.0	91.210
1042.0	91.217
1044.0	91.228
1046.0	91.238
1048.0	91.233
1050.0	91.227
1052.0	91.242
1054.0	91.246
1056.0	91.253
1058.0	91.259
1060.0	91.269
1062.0	91.268
1064.0	91.287
1066.0	91.307
1068.0	91.340
1070.0	91.333
1072.0	91.320
1074.0	91.314
1076.0	91.331
1078.0	91.347
1080.0	91.344
1082.0	91.338
1084.0	91.349
1086.0	91.343
1088.0	91.324
1090.0	91.306
1092.0	91.309
1094.0	91.321
1096.0	91.338
1098.0	91.328
1100.0	91.310
1102.0	91.269
1104.0	91.257
1106.0	91.234
1108.0	91.194
1110.0	91.133
1112.0	91.066
1114.0	90.999
1116.0	90.915
1118.0	90.830
1120.0	90.715
1122.0	90.565
1124.0	90.403
1126.0	90.222
1128.0	90.059
1130.0	89.908
1132.0	89.825
1134.0	89.799
1136.0	89.847
1138.0	89.955
1140.0	90.101
1142.0	90.226
1144.0	90.352
1146.0	90.471
1148.0	90.606
1150.0	90.727
1152.0	90.818
1154.0	90.896
1156.0	90.933
1158.0	90.978
1160.0	90.991
1162.0	90.981
1164.0	90.961
1166.0	90.931
